feature,builtin_score,perm_score,composite_score
rsi_raw,0.08268952,0.8726415094339617,0.39867032171701466
rsi_deviation,0.08104093,0.8726415094339617,0.39768116028522527
rsi_direction,0.07930967,0.8726415094339617,0.39664240778898274
rsi_extreme,0.079155214,0.8679245283018863,0.3946629412893977
macd_strength,0.077723,0.865566037735849,0.3928602137233851
macd_direction,0.07335643,0.865566037735849,0.3902402729358313
macd_divergence_abs,0.073172554,0.8632075471698107,0.3891865522372271
price_distance_ma20,0.071502686,0.8608490566037735,0.38724123545975053
price_direction_ma20,0.07021729,0.8608490566037735,0.38646999605984056
price_distance_ma50,0.06936815,0.8584905660377364,0.3850171142310469
price_direction_ma50,0.06861157,0.8396226415094344,0.377015999170407
atr,0.067971185,0.8372641509433962,0.3756883727773181
atr_pct,0.062342167,0.834905660377358,0.37136756503638213
negative_momentum,0.062102113,0.8231132075471699,0.36650655300549745
negative_acceleration,0.05912731,0.8207547169811316,0.36377827333954127
down_candle,0.058747098,0.813679245283019,0.36071995905828935
down_candle_ratio,0.04080616,0.8136792452830179,0.3499553956021112
down_candle_body,0.037441224,0.8113207547169807,0.3469930373202516
lower_low,0.0,0.8089622641509425,0.323584905660377
lower_low_streak,0.0,0.7971698113207554,0.31886792452830215
near_resistance,0.0,0.7853773584905662,0.3141509433962265
rejection_from_resistance,0.0,0.7783018867924536,0.31132075471698145
resistance_rejection_count,0.0,0.7783018867924525,0.311320754716981
bearish_divergence,0.0,0.7783018867924525,0.311320754716981
price_up,0.0,0.7665094339622643,0.30660377358490576
volume_on_decline,0.0,0.740566037735849,0.2962264150943396
volume_on_advance,0.0,0.7146226415094344,0.2858490566037738
volume_decline_ratio,0.0,0.6745283018867936,0.2698113207547174
distribution_signal,0.0,0.6627358490566043,0.26509433962264173
bear_market_strength,0.0,0.608490566037735,0.243396226415094
ema_12,0.0,0.5613207547169805,0.2245283018867922
trend_strength,0.0,0.43632075471698034,0.17452830188679214
downtrend_confirmed,0.0,0.33018867924528195,0.1320754716981128
downside_volatility,0.0,0.3231132075471694,0.12924528301886776
upside_volatility,0.0,0.3113207547169802,0.12452830188679208
volatility_asymmetry,0.0,0.09198113207547091,0.036792452830188366
below_support,0.0,0.08726415094339539,0.03490566037735816
support_breakdown,0.0,0.06132075471697992,0.02452830188679197
panic_selling,0.0,0.0,0.0
