entry_time,exit_time,side,entry_price,exit_price,hold_time,pnl_pct,pnl_dollars,balance,exit_reason
2025-07-17 07:00:00,2025-07-17 07:40:00,SHORT,118177.1,118547.5,8,-0.01653711590485785,-82.3386645142261,9875.705408943439,stop_loss
2025-07-17 13:50:00,2025-07-17 14:30:00,LONG,118367.6,118834.1,8,0.01176444905531581,58.09111658441094,9933.79652552785,take_profit
2025-07-17 17:05:00,2025-07-17 17:25:00,LONG,118972.2,118734.2,4,-0.01200186934426698,-59.61206399595927,9874.184461531891,stop_loss
2025-07-17 19:55:00,2025-07-17 20:05:00,SHORT,118989.5,118506.4,2,0.012240088411162524,60.43044539863879,9934.61490693053,take_profit
2025-07-17 21:00:00,2025-07-17 21:15:00,LONG,119834.3,120544.8,3,0.019716081288913105,97.93583753954512,10032.550744470076,take_profit
2025-07-17 22:50:00,2025-07-18 00:00:00,SHORT,119635.1,119404.4,14,0.003713455332089383,18.627714528254856,10051.17845899833,trailing_stop
2025-07-18 03:40:00,2025-07-18 04:00:00,LONG,120359.6,120021.6,4,-0.015233005094732783,-76.55482633699499,9974.623632661336,stop_loss
2025-07-18 04:05:00,2025-07-18 04:30:00,SHORT,119927.6,120224.6,5,-0.01390597660588555,-69.35344144415085,9905.270191217185,stop_loss
2025-07-18 10:45:00,2025-07-18 11:20:00,LONG,119136.4,118848.3,7,-0.013672946303564361,-67.71711372340464,9837.55307749378,stop_loss
2025-07-18 21:05:00,2025-07-19 00:55:00,LONG,117653.9,117758.6,46,-0.00044040699033311625,-2.1662635715506604,9835.386813922229,trailing_stop
2025-07-19 04:45:00,2025-07-19 10:40:00,SHORT,118144.5,118438.6,71,-0.013957298054501252,-68.637712621612,9766.749101300617,stop_loss
2025-07-19 19:40:00,2025-07-19 20:55:00,LONG,118124.4,117722.9,15,-0.017595836253983088,-85.92705896011107,9680.822042340506,stop_loss
2025-07-20 00:10:00,2025-07-20 00:50:00,SHORT,117715.3,117945.3,8,-0.011815466638576294,-57.19171493763414,9623.63032740287,stop_loss
2025-07-20 02:45:00,2025-07-20 12:45:00,LONG,117976.2,117917.2,120,-0.0060004034712085996,-28.872832411088268,9594.757494991782,max_hold
2025-07-20 12:50:00,2025-07-20 14:05:00,LONG,118134.9,118646.5,15,0.013322569367731494,63.913411146794836,9658.670906138577,take_profit
2025-07-20 17:00:00,2025-07-20 18:05:00,SHORT,118354.1,118163.7,13,0.0024349270536469366,11.759079545814696,9670.429985684392,trailing_stop
2025-07-21 01:05:00,2025-07-21 01:30:00,LONG,117327.2,117007.5,5,-0.01489943337947201,-72.04196366127653,9598.388022023115,stop_loss
2025-07-21 02:00:00,2025-07-21 02:15:00,LONG,117522.4,117713.2,3,0.0024940811283637133,11.969579214220081,9610.357601237334,trailing_stop
2025-07-21 05:20:00,2025-07-21 05:55:00,SHORT,118210.1,118442.4,7,-0.011860580441095586,-56.99220969858491,9553.36539153875,stop_loss
2025-07-21 06:10:00,2025-07-21 06:25:00,LONG,118383.3,118864.8,3,0.012269186616693403,58.606011403124576,9611.971402941874,take_profit
2025-07-21 08:40:00,2025-07-21 10:10:00,SHORT,119013.9,118828.9,18,0.0022177611186592495,10.658528225554543,9622.629931167428,trailing_stop
2025-07-21 13:35:00,2025-07-21 13:55:00,LONG,118617.7,118872.4,4,0.004588937401416386,22.078823195561498,9644.70875436299,trailing_stop
2025-07-21 18:30:00,2025-07-21 18:45:00,SHORT,117737.7,117247.5,3,0.012653968949622663,61.02192255293157,9705.73067691592,take_profit
2025-07-21 23:30:00,2025-07-22 00:35:00,LONG,117494.3,117255.1,13,-0.01214337376366333,-58.930157629621554,9646.800519286298,stop_loss
2025-07-22 00:40:00,2025-07-22 01:20:00,SHORT,117080.0,116986.0,8,-0.0007885206696276051,-3.8033508026157805,9642.997168483682,trailing_stop
2025-07-22 01:40:00,2025-07-22 02:40:00,LONG,117615.8,117296.1,12,-0.014872688873433572,-71.70864834712935,9571.288520136553,stop_loss
2025-07-22 13:50:00,2025-07-22 14:00:00,SHORT,118325.4,117718.4,2,0.01651968554511542,79.05733830711449,9650.345858443668,take_profit
2025-07-22 21:30:00,2025-07-22 22:20:00,SHORT,119535.2,119951.6,10,-0.01793397091400721,-86.53451096771934,9563.811347475948,stop_loss
2025-07-23 00:20:00,2025-07-23 00:25:00,LONG,120118.3,119724.8,1,-0.01710374855454997,-81.78851225519018,9482.022835220758,stop_loss
2025-07-23 10:45:00,2025-07-23 12:20:00,LONG,118332.0,118517.0,19,0.002253591589764392,10.684303457703708,9492.707138678461,trailing_stop
2025-07-23 16:20:00,2025-07-23 17:20:00,SHORT,117721.7,117834.4,12,-0.007829370455914147,-37.16096040910723,9455.546178269355,trailing_stop
2025-07-23 20:30:00,2025-07-23 20:40:00,SHORT,117657.3,117889.5,2,-0.01189411281747914,-56.23266649760971,9399.313511771745,stop_loss
2025-07-24 03:45:00,2025-07-24 04:35:00,SHORT,118688.0,118170.9,10,0.013427204098139855,63.10325045248145,9462.416762224226,take_profit
2025-07-24 07:20:00,2025-07-24 08:05:00,LONG,118021.4,118583.7,9,0.015057560747457763,71.24045760747694,9533.657219831703,take_profit
2025-07-24 10:05:00,2025-07-24 10:40:00,SHORT,118360.3,118127.9,7,0.0038539848243037134,18.371285122672457,9552.028504954375,trailing_stop
2025-07-24 11:10:00,2025-07-24 12:15:00,LONG,118694.1,118430.5,13,-0.012883339609972384,-61.531013596731995,9490.497491357643,stop_loss
2025-07-24 12:35:00,2025-07-24 13:00:00,SHORT,118358.2,118607.6,5,-0.012428651331298,-58.977042140321245,9431.520449217322,stop_loss
2025-07-24 13:55:00,2025-07-24 14:35:00,SHORT,118206.5,118691.0,8,-0.020395037497937932,-96.17810661217784,9335.342342605143,stop_loss
2025-07-25 07:20:00,2025-07-25 07:30:00,LONG,115757.5,115299.0,2,-0.019843465866142582,-92.62277356212034,9242.719569043024,stop_loss
2025-07-25 07:35:00,2025-07-25 07:50:00,SHORT,115338.0,114744.2,3,0.016593386394770256,76.68400857381765,9319.40357761684,take_profit
2025-07-25 08:10:00,2025-07-25 08:35:00,LONG,115661.5,115334.7,5,-0.015301945764148067,-71.30250404945018,9248.10107356739,stop_loss
