entry_idx,exit_idx,side,entry_price,exit_price,pnl_pct,pnl_usd,holding_candles,exit_reason,entry_prob
20498,20499,SHORT,113732.4,113546.8,0.16319008479552993,13.284736194839372,1,ML Exit,0.5681713
20500,20501,SHORT,113496.6,113352.2,0.12722848085317862,9.417924581414688,1,ML Exit,0.5500686
20502,20503,SHORT,113521.5,113501.9,0.01726545191880465,-2.4555593092302823,1,ML Exit,0.58588946
20503,20504,SHORT,113501.9,113450.2,0.04554989828363851,0.6003902029062935,1,ML Exit,0.59130836
20504,20505,SHORT,113450.2,113375.0,0.06628459006682852,2.84039935973961,1,ML Exit,0.55854267
20507,20508,SHORT,113544.9,113464.2,0.07107320540156105,3.3585543393269592,1,ML Exit,0.600463
20565,20613,SHORT,113907.1,114251.1,-0.30200048987288763,-36.965736278603956,48,Max Hold,0.5666296
20641,20655,SHORT,114089.6,113960.0,0.11359492889799405,7.92983781398439,14,ML Exit,0.55324227
20675,20678,SHORT,113999.5,113869.0,0.11447418629029074,8.030179437027954,3,ML Exit,0.55475336
20680,20684,SHORT,113937.8,113797.4,0.12322512809621454,8.97999929643067,4,ML Exit,0.5660644
20688,20724,SHORT,113928.3,113738.6,0.16650823368732534,13.660597000610185,36,ML Exit,0.5676109
20738,20786,SHORT,114147.9,114311.0,-0.14288480120966382,-19.76987037827638,48,Max Hold,0.56190187
20797,20845,SHORT,114225.3,115191.1,-0.8455219640482476,-95.56201449785306,48,Max Hold,0.5630799
20866,20875,SHORT,115942.4,115561.2,0.3287839478913643,30.9033326622786,9,ML Exit,0.58780044
20888,20889,SHORT,115457.0,115353.8,0.08938392648345019,5.299883146318838,1,ML Exit,0.5983901
20893,20894,SHORT,115261.5,115201.1,0.0524025802197561,1.332312635592877,1,ML Exit,0.5888479
20906,20909,SHORT,115244.5,115265.0,-0.0177882675528984,-6.2036157213404675,3,ML Exit,0.6563975
20940,20949,SHORT,115282.3,115119.8,0.14095832577941278,10.834362691635583,9,ML Exit,0.5543398
20959,21001,SHORT,115048.8,114771.5,0.2410281550090074,21.59322154695473,42,ML Exit,0.580244
21020,21032,SHORT,114898.5,114823.0,0.06571017028072602,2.7676560939989168,12,ML Exit,0.6187406
21032,21080,SHORT,114823.0,116421.2,-1.3918814174860412,-154.12845568927543,48,Max Hold,0.57831484
21086,21108,SHORT,116275.6,115890.4,0.33128188545147186,30.92817089276619,22,ML Exit,0.560846
21130,21131,SHORT,115974.2,115963.4,0.009312416037362542,-3.266470238785646,1,ML Exit,0.55857915
21157,21168,SHORT,116186.6,115808.9,0.3250805170303732,30.34466294704105,11,ML Exit,0.5500587
21169,21178,SHORT,115811.2,115810.9,0.0002590423033375963,-4.240610360137198,9,ML Exit,0.5504966
21206,21220,SHORT,115686.3,115622.5,0.05514914039086989,1.6170769667220535,14,ML Exit,0.5720623
21221,21269,SHORT,115652.3,115983.0,-0.28594329727986134,-34.7782243146451,48,Max Hold,0.5535877
21274,21312,SHORT,115896.0,115738.7,0.13572513287775498,10.183361760705242,38,ML Exit,0.57236075
21332,21347,SHORT,115706.8,115291.4,0.3590108792223177,33.96566842619357,15,ML Exit,0.5507516
21354,21355,SHORT,115494.4,115452.7,0.03610564668070235,-0.4150311769761834,1,ML Exit,0.615031
21377,21425,SHORT,115596.9,115843.3,-0.21315450500835986,-27.0329949293966,48,Max Hold,0.5549279
21437,21446,SHORT,115945.2,115709.1,0.2036306807008753,17.4326050539495,9,ML Exit,0.5602642
21451,21469,SHORT,115784.2,115683.1,0.08731761328401566,5.0494876281245595,18,ML Exit,0.5759647
21485,21533,SHORT,115684.6,115828.5,-0.12438993608483254,-17.546900889159282,48,Max Hold,0.5684996
21558,21570,SHORT,115927.8,115733.3,0.16777684041273966,13.619049064822317,12,ML Exit,0.5776112
21576,21589,SHORT,115778.3,115695.2,0.07177510811612005,3.391492010662959,13,ML Exit,0.5762505
21596,21597,SHORT,115280.4,115183.2,0.08431615435060695,4.731142564504578,1,ML Exit,0.6331332
21597,21598,SHORT,115183.2,115251.0,-0.05886275081783013,-10.556161242988928,1,ML Exit,0.66942567
21778,21813,SHORT,115939.6,115661.6,0.23978002339149004,21.314236549178943,35,ML Exit,0.5731783
21816,21818,SHORT,115420.0,115454.2,-0.02963091318662025,-7.4417693273444225,2,ML Exit,0.55407125
21820,21821,SHORT,115725.7,115614.8,0.09583005330708233,5.96440130851081,1,ML Exit,0.56942093
21832,21835,SHORT,115013.2,114934.7,0.06825303530377383,3.0203342308192136,3,ML Exit,0.6180786
21835,21846,SHORT,114934.7,114784.5,0.1306829008123718,9.694988018960956,11,ML Exit,0.6391185
21870,21874,SHORT,114816.5,114666.8,0.13038195729707583,9.671143518460095,4,ML Exit,0.5500559
21877,21888,SHORT,114673.7,114477.2,0.17135576858512458,14.067149196073851,11,ML Exit,0.5522281
21888,21889,SHORT,114477.2,114412.9,0.056168389862787445,1.7344181625319655,1,ML Exit,0.5782395
21892,21899,SHORT,114841.3,114616.9,0.1954000869025418,16.665279776844535,7,ML Exit,0.5722689
21908,21909,SHORT,114640.1,114568.7,0.062281871701096496,2.3937973081534833,1,ML Exit,0.5739271
21911,21959,SHORT,114803.0,115247.8,-0.38744632108917265,-45.91401437217834,48,Max Hold,0.5747094
21961,22009,SHORT,115391.7,115195.6,0.16994289883933705,13.90220290690174,48,Max Hold,0.6391632
22014,22017,SHORT,115058.9,115000.6,0.05066970047513783,1.1437153161399252,3,ML Exit,0.5747734
22019,22029,SHORT,115035.2,115098.8,-0.055287425066419524,-10.20665567035142,10,ML Exit,0.5585112
22044,22092,SHORT,115095.1,115824.7,-0.633910566131826,-72.12537420342109,48,Max Hold,0.5517289
22113,22118,SHORT,115641.6,115568.7,0.0630395982068812,2.4509064163381833,5,ML Exit,0.5584517
22120,22129,SHORT,115611.2,115400.1,0.18259476590502588,15.167853567961629,9,ML Exit,0.5702228
22132,22140,SHORT,115478.6,115235.6,0.21042859889191587,18.152945659556384,8,ML Exit,0.5532284
22147,22150,SHORT,115329.8,115279.4,0.04370076077475963,0.39565407667185415,3,ML Exit,0.5694086
22162,22180,SHORT,115374.9,115088.2,0.24849425654973228,22.244009494479418,18,ML Exit,0.55453604
22196,22244,SHORT,115303.6,116533.0,-1.0662286346653478,-118.2506755204937,48,Max Hold,0.56030834
22259,22307,SHORT,116778.8,116518.2,0.22315694286977245,19.373813257606496,48,Max Hold,0.5600628
22314,22342,SHORT,116550.2,116385.3,0.14148409869738032,10.753756048001966,28,ML Exit,0.5629033
22375,22405,SHORT,117104.9,116641.9,0.3953720126143313,37.69116559270296,30,ML Exit,0.5690177
22414,22418,SHORT,116575.4,116438.2,0.11769206882412335,8.268600605976763,4,ML Exit,0.5544321
22458,22459,SHORT,116140.6,116066.3,0.0639741830161054,2.55399371903476,1,ML Exit,0.5688014
22459,22460,SHORT,116066.3,115938.2,0.11036795348865762,7.496428052089066,1,ML Exit,0.5773623
22461,22462,SHORT,116054.9,116083.0,-0.02421267865467621,-6.843639125338203,1,ML Exit,0.67289925
22462,22463,SHORT,116083.0,116056.0,0.02325921969625182,-1.7824753560545257,1,ML Exit,0.5507991
