window,total_trades,long_trades,short_trades,total_return_pct,win_rate,final_capital,avg_position_size
29,5,3,2,-12.190952205677913,0.0,8780.904779432209,47.47835
30,5,5,0,-9.362256628866161,20.0,9063.774337113384,46.860237
31,4,3,1,-8.362561609387503,0.0,9163.74383906125,48.628063
32,6,5,1,-9.016471084912336,33.33333333333333,9098.352891508766,51.105614
33,6,4,2,-10.428227106655614,16.666666666666664,8957.177289334439,51.008476
34,8,4,4,-14.224528703894993,12.5,8577.5471296105,50.05227
35,9,4,5,-14.242960610176562,22.22222222222222,8575.703938982344,51.99253
36,8,2,6,-13.002101931638554,12.5,8699.789806836145,49.725025
37,8,3,5,-12.572957030600938,25.0,8742.704296939906,49.73923
38,9,5,4,-13.385896664627381,33.33333333333333,8661.410333537262,51.300735
39,10,8,2,-8.519205678770868,50.0,9148.079432122913,53.298008
40,8,7,1,-3.420428781835544,62.5,9657.957121816446,49.920826
41,11,9,2,-8.755764087665721,45.45454545454545,9124.423591233428,49.45847
42,11,5,6,-3.5352490195461903,54.54545454545454,9646.475098045381,50.358986
43,10,5,5,0.9768644381856574,60.0,10097.686443818566,48.53181
44,9,5,4,-3.8372423152704322,55.55555555555556,9616.275768472957,48.730354
45,9,6,3,-1.4889024658905692,66.66666666666666,9851.109753410943,49.40755
46,9,6,3,13.914569898720364,100.0,11391.456989872037,48.141945
47,8,4,4,9.95413938953072,87.5,10995.413938953072,49.126366
48,9,5,4,5.758776897791213,66.66666666666666,10575.877689779121,49.41443
49,10,5,5,8.72418760437944,70.0,10872.418760437944,51.690216
50,9,3,6,0.8777594458999737,55.55555555555556,10087.775944589997,51.77195
51,8,3,5,0.3118407945690524,37.5,10031.184079456905,49.8554
52,6,1,5,-0.04849724144887659,50.0,9995.150275855112,47.604717
53,7,2,5,-1.4569886896490971,57.14285714285714,9854.30113103509,48.856186
54,7,1,6,-1.613368709333772,57.14285714285714,9838.663129066623,48.42805
55,7,1,6,-2.526394711804205,57.14285714285714,9747.36052881958,47.888367
56,7,1,6,0.1294406070379955,57.14285714285714,10012.9440607038,47.339657
57,6,2,4,-6.32466503712767,33.33333333333333,9367.533496287233,46.674408
58,6,3,3,-2.512746735678811,33.33333333333333,9748.725326432119,45.8288
59,6,4,2,-2.200566237724579,33.33333333333333,9779.943376227542,46.79389
60,7,4,3,-0.507297300718983,42.857142857142854,9949.270269928102,46.345573
61,9,4,5,-0.28453536200584495,55.55555555555556,9971.546463799416,47.92251
62,10,4,6,-1.7069944820805902,50.0,9829.300551791941,46.019085
63,9,2,7,-1.7382248615843854,55.55555555555556,9826.177513841561,45.68978
64,7,2,5,-0.9955620519002695,57.14285714285714,9900.443794809973,46.01553
65,6,4,2,-2.2941204220775036,66.66666666666666,9770.58795779225,46.1346
66,6,4,2,-3.9064075082872116,50.0,9609.359249171279,45.79991
67,6,4,2,-5.887981464584682,33.33333333333333,9411.201853541532,45.716293
68,6,3,3,-6.781142820928471,16.666666666666664,9321.885717907153,45.68948
69,9,4,5,-3.6202829202918654,33.33333333333333,9637.971707970813,46.72297
70,9,4,5,1.1858616299031928,44.44444444444444,10118.58616299032,46.25513
71,8,5,3,0.49113185726928343,50.0,10049.113185726928,46.54836
72,8,4,4,-2.221091508912432,50.0,9777.890849108757,46.649975
73,9,3,6,-0.6260245433961427,66.66666666666666,9937.397545660386,51.429604
74,8,2,6,-10.381048166839465,25.0,8961.895183316054,47.936363
75,7,1,6,-11.044836037289498,28.57142857142857,8895.51639627105,50.13862
76,8,1,7,-12.690696125622871,25.0,8730.930387437713,49.33152
77,6,2,4,-5.792204793657565,33.33333333333333,9420.779520634243,51.91006
78,6,2,4,-8.72086205970154,33.33333333333333,9127.913794029846,52.920956
79,7,2,5,-6.189827041748668,42.857142857142854,9381.017295825133,52.92813
80,8,3,5,-4.959818952427449,50.0,9504.018104757255,53.64457
81,8,4,4,-2.3852237697718555,62.5,9761.477623022814,55.719578
82,10,6,4,1.5482325334608869,70.0,10154.823253346089,56.723797
83,10,8,2,5.580057393146217,80.0,10558.005739314622,55.378742
84,10,10,0,20.92610104397072,90.0,12092.610104397072,55.92293
85,10,10,0,25.38448465279873,90.0,12538.448465279873,53.163445
86,10,8,2,14.79715259145736,70.0,11479.715259145736,53.37677
87,11,9,2,7.658022482476463,54.54545454545454,10765.802248247646,50.811047
88,10,8,2,11.220255542637734,50.0,11122.025554263773,52.054173
89,11,7,4,-1.264562716290784,54.54545454545454,9873.543728370922,51.20838
90,12,7,5,-1.8373029989647693,50.0,9816.269700103523,51.468693
91,11,7,4,12.750467619380816,63.63636363636363,11275.046761938082,51.876556
92,10,4,6,17.947330410029153,80.0,11794.733041002915,51.784832
93,10,4,6,30.312147365656966,80.0,13031.214736565697,53.265564
94,10,6,4,12.532955924012331,60.0,11253.295592401233,54.366623
95,10,6,4,23.336273455265946,80.0,12333.627345526595,51.78407
96,10,8,2,26.562066439852135,70.0,12656.206643985213,50.83616
97,9,8,1,26.61339656528093,77.77777777777779,12661.339656528093,47.834354
98,10,6,4,25.337112056651527,70.0,12533.711205665153,49.107162
99,8,4,4,16.135736601150803,75.0,11613.57366011508,49.588818
