entry_time,exit_time,side,entry_price,exit_price,position_value,pnl_pct,pnl_net,exit_reason,hold_candles
2025-10-11 04:15:00,2025-10-11 07:25:00,SHORT,112508.1,110696.8,28596.847192143414,0.06439714118361266,1827.256782442585,ML Exit (0.713),37
2025-10-11 07:25:00,2025-10-11 12:25:00,LONG,110696.8,112430.4,30658.8946492702,0.06264318390414145,1905.2413284872964,ML Exit (0.740),59
2025-10-11 12:25:00,2025-10-11 20:20:00,SHORT,112430.4,110554.4,35684.28753785299,0.06674351420967994,2363.8526085760695,ML Exit (0.759),94
2025-10-11 20:50:00,2025-10-11 22:15:00,LONG,110143.0,110686.3,33595.19706744887,0.019730713708542638,646.0596167861804,ML Exit (0.718),16
2025-10-12 00:05:00,2025-10-12 01:50:00,LONG,110266.7,110069.1,33403.153131036896,-0.007168075221258685,-256.13789083601347,ML Exit (0.726),20
2025-10-12 01:55:00,2025-10-12 02:05:00,LONG,109935.7,110068.5,33129.419071703676,0.004831915383265051,143.5138401153477,ML Exit (0.722),1
2025-10-12 02:30:00,2025-10-12 02:35:00,LONG,110460.9,110144.3,33100.89408489623,-0.011464690220702213,-396.0419437540577,ML Exit (0.763),0
2025-10-12 02:35:00,2025-10-12 04:45:00,LONG,110144.3,111673.6,34301.71385431677,0.05553805326285619,1887.8995541211384,ML Exit (0.753),25
2025-10-12 05:00:00,2025-10-12 05:15:00,LONG,111264.1,111367.0,36430.88795019726,0.0036993064249832308,116.55357388691027,ML Exit (0.718),2
2025-10-12 05:15:00,2025-10-12 05:20:00,LONG,111367.0,111447.8,33981.69249031829,0.002902116425871323,81.62798170990175,ML Exit (0.770),0
2025-10-12 09:00:00,2025-10-12 09:55:00,LONG,111159.3,111770.8,34895.870734090764,0.02200445666714346,750.4167400634946,ML Exit (0.726),10
2025-10-12 13:15:00,2025-10-12 14:45:00,LONG,111717.2,112047.2,34825.657405697835,0.011815548545792412,394.07141701330886,ML Exit (0.792),17
2025-10-12 15:00:00,2025-10-12 16:40:00,LONG,112777.7,114217.1,37344.92992721686,0.051052646046160145,1887.885024229247,ML Exit (0.734),19
2025-10-12 17:50:00,2025-10-12 20:25:00,LONG,113807.4,115180.8,42015.3632772492,0.048271026312876275,2007.1170246625272,ML Exit (0.831),30
2025-10-12 21:35:00,2025-10-13 06:35:00,LONG,114560.7,115097.1,39094.25885329307,0.01872893583925408,712.6467363198702,ML Exit (0.752),107
2025-10-13 06:35:00,2025-10-13 06:40:00,SHORT,115097.1,114961.7,43498.4705272257,0.004705592060964481,182.93682231339784,ML Exit (0.799),0
2025-10-13 06:40:00,2025-10-13 11:25:00,SHORT,114961.7,113604.6,43777.141855040194,0.047219204308913014,2045.2332343858902,ML Exit (0.833),56
2025-10-13 11:30:00,2025-10-13 13:55:00,LONG,114064.9,115291.2,41670.543258249105,0.043003588308059816,1771.1476152218174,ML Exit (0.832),28
2025-10-13 13:55:00,2025-10-13 14:50:00,SHORT,115291.2,113909.8,45896.295234262165,0.04792733530399525,2176.738983286511,ML Exit (0.856),10
2025-10-13 14:50:00,2025-10-13 16:05:00,LONG,113909.8,114903.5,49767.088797218785,0.034894275997324094,1711.7029876748788,ML Exit (0.784),14
2025-10-13 16:15:00,2025-10-13 17:00:00,LONG,114775.4,114727.1,47930.89989578877,-0.0016832875337394028,-104.64693622338686,ML Exit (0.704),8
2025-10-13 17:00:00,2025-10-13 19:35:00,LONG,114727.1,115452.9,49497.73710853506,0.02530526789224127,1227.8046290369439,ML Exit (0.725),30
2025-10-13 19:35:00,2025-10-14 04:05:00,SHORT,115452.9,113256.7,48434.24657910984,0.0760899033285434,3661.140016705747,ML Exit (0.706),101
2025-10-14 04:05:00,2025-10-14 04:10:00,SHORT,113256.7,113369.8,52469.09536219773,-0.003994465669580901,-235.82054781936418,ML Exit (0.804),0
2025-10-14 04:10:00,2025-10-14 04:15:00,SHORT,113369.8,113327.1,50784.947884954454,0.0015065740611696268,51.11881123884646,ML Exit (0.806),0
2025-10-14 04:15:00,2025-10-14 04:50:00,SHORT,113327.1,112807.5,51563.17785815713,0.01833983222018408,919.8784417290339,ML Exit (0.740),6
2025-10-14 04:50:00,2025-10-14 07:35:00,SHORT,112807.5,111605.7,49349.62614651558,0.042614187886443826,2078.319427660118,ML Exit (0.713),32
2025-10-14 07:35:00,2025-10-14 09:35:00,SHORT,111605.7,111557.2,51056.691887772846,0.0017382624722572413,63.221585522229844,ML Exit (0.716),23
2025-10-14 09:35:00,2025-10-14 09:40:00,SHORT,111557.2,111459.3,50756.989221368945,0.0035103068201781393,152.79411082479524,ML Exit (0.768),0
2025-10-14 10:15:00,2025-10-14 11:20:00,LONG,110550.3,111367.7,57178.471164975395,0.02957567731611743,1662.5027770217496,ML Exit (0.772),12
2025-10-14 13:00:00,2025-10-14 13:55:00,LONG,110797.5,110962.0,54069.90658291318,0.0059387621561858344,294.07336171165156,ML Exit (0.725),10
2025-10-14 13:55:00,2025-10-14 14:00:00,LONG,110962.0,111122.3,53220.80762132631,0.005778554820569309,280.9289506241438,ML Exit (0.801),0
2025-10-14 14:55:00,2025-10-14 15:30:00,LONG,111375.3,111561.2,57446.1351384106,0.006676525225970001,354.8175028168748,ML Exit (0.700),6
2025-10-14 17:40:00,2025-10-14 19:40:00,SHORT,112638.1,112064.8,52932.83773697185,0.020359008186395293,1051.1936579476576,ML Exit (0.897),23
2025-10-14 22:00:00,2025-10-15 08:05:00,SHORT,113374.4,112685.3,56651.22406799944,0.02431236681296629,1348.999727910747,Max Hold (120 candles),120
2025-10-15 08:05:00,2025-10-15 10:55:00,SHORT,112685.3,112198.0,56694.497074447434,0.017297730937398326,952.3389074876847,ML Exit (0.722),33
2025-10-15 10:55:00,2025-10-15 13:40:00,SHORT,112198.0,111272.6,60530.39042844612,0.03299167543093439,1966.733799508809,ML Exit (0.739),32
2025-10-15 15:40:00,2025-10-15 18:20:00,LONG,110683.1,111229.3,57461.10391911368,0.01973923751683851,1105.5078262795682,ML Exit (0.731),31
2025-10-15 20:30:00,2025-10-15 21:30:00,LONG,110489.7,111185.2,62634.863361345124,0.025178817573040746,1545.75436660697,ML Exit (0.711),11
2025-10-15 23:45:00,2025-10-16 01:10:00,LONG,110611.2,110958.4,62636.437617449395,0.01255569056298086,755.1255098834239,ML Exit (0.712),16
2025-10-16 01:20:00,2025-10-16 01:25:00,LONG,110713.6,110839.0,61093.20073591126,0.004530608705705322,246.2427867455667,ML Exit (0.742),0
2025-10-16 04:40:00,2025-10-16 06:50:00,LONG,110937.8,111611.8,60791.4962452585,0.0243019061131553,1446.9534861078757,ML Exit (0.792),25
2025-10-16 07:25:00,2025-10-16 09:30:00,LONG,110694.5,109489.2,65401.453565294476,-0.043554106120900424,-2881.202575826624,Stop Loss (-4.36%),24
2025-10-16 09:30:00,2025-10-16 09:45:00,LONG,109489.2,111582.2,63213.36696799041,0.07646416267540543,4801.950491616524,ML Exit (0.710),2
2025-10-16 09:45:00,2025-10-16 09:50:00,SHORT,111582.2,111113.6,69542.2600717137,0.016798378235954883,1133.4260580319328,ML Exit (0.753),0
2025-10-16 09:50:00,2025-10-16 11:20:00,LONG,111113.6,111245.3,67992.82408757073,0.004741093799498786,288.3639446482079,ML Exit (0.752),17
2025-10-16 11:20:00,2025-10-16 11:35:00,SHORT,111245.3,111113.2,73757.86137720845,0.004749863589742877,313.4608495243006,ML Exit (0.752),2
2025-10-16 11:35:00,2025-10-16 11:45:00,SHORT,111113.2,111148.1,71817.09208924591,-0.001256376380124368,-126.13784423476812,ML Exit (0.709),1
2025-10-16 11:45:00,2025-10-16 13:50:00,SHORT,111148.1,110861.0,69699.12348944214,0.010332160423795127,685.2929635461023,ML Exit (0.702),24
2025-10-16 13:55:00,2025-10-16 14:40:00,LONG,110802.6,111291.6,66525.91417282811,0.017653015362455393,1141.1200278079095,ML Exit (0.853),8
2025-10-16 14:50:00,2025-10-16 15:10:00,LONG,110725.5,110533.0,68613.46505548657,-0.006954134323168557,-511.4539849016288,ML Exit (0.757),3
2025-10-16 15:45:00,2025-10-16 16:30:00,LONG,108691.1,107518.3,65423.64574222822,-0.0431608475762966,-2856.4518246370526,Stop Loss (-4.32%),8
2025-10-16 16:30:00,2025-10-16 16:55:00,LONG,107518.3,109182.0,71149.90717208564,0.06189457980641424,4368.218654095576,ML Exit (0.846),4
2025-10-16 17:00:00,2025-10-16 18:00:00,SHORT,108453.9,107886.6,71830.77839037815,0.02092317565343389,1467.0126043895762,ML Exit (0.747),11
2025-10-16 18:00:00,2025-10-16 18:50:00,LONG,107886.6,108456.7,72601.26310263222,0.021137008673922108,1498.272896386722,ML Exit (0.761),9
2025-10-16 18:50:00,2025-10-16 19:15:00,SHORT,108456.7,107830.9,74199.0884038287,0.023080178541298155,1675.4286637600178,ML Exit (0.769),4
