window,total_trades,long_trades,short_trades,avg_leveraged_return,window_return_pct,win_rate,starting_capital,final_capital,avg_position_size
25,25,23,2,1.0272515568360678,13.883429966069528,68.0,1921991.6375252323,2188830.000474761,49.21512
26,38,33,5,0.6345530548972435,16.150802059491095,57.89473684210527,2188830.000474761,2542343.6012701974,49.180508
27,42,34,8,0.6672847107448111,21.625796689606926,64.28571428571429,2542343.6012701974,3092145.659632121,50.955677
28,40,32,8,0.658864465555928,20.463947211875443,65.0,3092145.659632121,3724920.715133536,51.235855
29,36,28,8,0.6558670942637023,18.63208276480288,63.888888888888886,3724920.715133536,4418951.025700504,51.662
30,36,29,7,0.6209624238311318,17.558100994996114,63.888888888888886,4418951.025700504,5194834.909712415,50.576942
31,29,22,7,1.0209820946074188,17.937791117817543,72.41379310344827,5194834.909712415,6126673.544732094,52.202267
32,26,22,4,0.9600697679353614,12.794595403038594,57.692307692307686,6126673.544732094,6910556.636445568,50.09867
33,23,19,4,1.012272084137122,11.8297954150161,52.17391304347826,6910556.636445568,7728061.348575897,50.130886
34,23,19,4,0.9564452694892108,11.340627063505762,52.17391304347826,7728061.348575897,8604471.965356823,50.153214
35,19,16,3,1.0310195350411742,9.081832046803438,52.63157894736842,8604471.965356823,9385915.657764817,50.69257
36,32,31,1,0.5059637317647032,7.634098006984237,28.125,9385915.657764817,10102445.657931462,50.85281
37,37,36,1,0.4974497120653801,8.75544424829079,29.72972972972973,10102445.657931462,10986959.655225525,49.91655
38,41,40,1,0.40599247359344465,7.485714120971452,26.82926829268293,10986959.655225525,11809412.045602178,48.10121
39,61,58,3,0.4628101433995251,15.38556379157928,24.59016393442623,11809412.045602178,13626356.669288749,50.97487
40,64,60,4,0.5587353538227633,21.865059449502557,28.125,13626356.669288749,16605767.65582999,50.98362
41,50,44,6,0.7185910393307081,22.252019104648927,36.0,16605767.65582999,20300886.24707889,50.87508
42,40,34,6,0.7725700343904762,19.29086670353434,37.5,20300886.24707889,24217103.152639017,51.775696
43,36,30,6,0.6003219541063276,14.08213814381624,36.11111111111111,24217103.152639017,27627389.07302412,53.2474
44,30,25,5,0.6311798867168453,10.652621985153754,56.666666666666664,27627389.07302412,30570430.395341054,48.42483
45,27,22,5,0.527760656126841,6.9226073078460155,55.55555555555556,30570430.395341054,32686701.243928913,47.46568
46,34,29,5,0.7893519792449624,14.96880714874266,64.70588235294117,32686701.243928913,37579510.5164183,48.938038
47,46,40,6,0.7464039548270179,20.80680729119162,58.69565217391305,37579510.5164183,45398606.850542545,49.09186
48,62,56,6,0.5838172868903634,21.88994730025964,41.935483870967744,45398606.850542545,55336337.96517837,52.74585
49,50,44,6,0.6318332148782719,20.206173047513253,42.0,55336337.96517837,66517694.17257909,54.646446
50,49,43,6,0.6056548680096462,19.476013101688388,40.816326530612244,66517694.17257909,79472689.0045716,54.81095
51,47,43,4,0.5709119871796571,17.819553457583044,42.5531914893617,79472689.0045716,93634367.30591996,53.044277
52,37,34,3,0.8358153637173977,18.60348124113082,48.64864864864865,93634367.30591996,111053619.2629283,54.469456
53,24,21,3,1.8875027660129655,27.294386346064854,91.66666666666666,111053619.2629283,141365023.15583986,48.330627
54,31,25,6,1.8111928330900795,35.10215269871247,93.54838709677419,141365023.15583986,190987189.44657302,48.777782
55,31,25,6,1.7800431444479878,36.15719991481294,93.54838709677419,190987189.44657302,260042809.34645295,50.222675
56,22,16,6,2.0952337438084614,28.31871760998521,95.45454545454545,260042809.34645295,333683598.1903472,50.605614
57,21,14,7,2.2682761044221746,33.7083201010326,95.23809523809523,333683598.1903472,446162733.59299284,54.09427
58,22,16,6,1.5229315665023797,22.90438120080296,72.72727272727273,446162733.59299284,548353546.8710549,52.664272
59,16,13,3,2.42231114787229,22.632538988136098,68.75,548353546.8710549,672459877.1594735,52.267326
60,14,13,1,1.9208738791215447,13.485156935402468,57.14285714285714,672459877.1594735,763142146.9220432,48.998085
61,21,20,1,1.9184434900146683,20.039901028397882,52.38095238095239,763142146.9220432,916075077.8712114,47.982536
62,19,18,1,1.4679856041060027,11.739987055777414,47.368421052631575,916075077.8712114,1023622173.4344945,47.209965
63,15,14,1,1.4147927081654241,9.64276236443137,60.0,1023622173.4344945,1122327627.1284103,46.80091
64,14,13,1,1.5010635830002357,9.41568037755317,57.14285714285714,1122327627.1284103,1228002409.2877982,46.240692
65,13,12,1,2.330241605163557,14.341239363696022,69.23076923076923,1228002409.2877982,1404113174.1957154,44.911495
66,8,7,1,2.5551894702467597,10.314371859987112,87.5,1404113174.1957154,1548938628.3173301,46.659184
67,8,7,1,2.8443375204354404,11.295813849972031,100.0,1548938628.3173301,1723903852.422366,46.55356
68,10,9,1,3.2365397389698165,15.237545317409737,100.0,1723903852.422366,1986584483.1637962,44.583424
69,12,11,1,2.5199492230220994,14.443461152994077,91.66666666666666,1986584483.1637962,2273516041.2609673,44.853806
70,10,9,1,2.431576267399562,11.746376319289432,90.0,2273516041.2609673,2540571791.146892,45.31514
71,13,8,5,1.8159640871996956,11.457251042280209,69.23076923076923,2540571791.146892,2831651479.1679463,50.40632
72,13,9,4,1.354672502104554,8.22136163345165,53.84615384615385,2831651479.1679463,3064451787.469326,47.45546
73,14,10,4,1.1025178115611423,7.471801268680115,57.14285714285714,3064451787.469326,3293421535.0035496,47.126762
74,19,15,4,1.046932601142211,9.72315755535969,52.63157894736842,3293421535.0035496,3613646099.8140903,47.70069
75,20,16,4,1.0156521410336548,9.878298958356984,55.00000000000001,3613646099.8140903,3970612864.8507333,46.99363
76,16,15,1,1.1757717094147326,9.131159832655975,68.75,3970612864.8507333,4333175871.876254,45.48797
77,13,12,1,1.1650183053473875,7.498957026439775,69.23076923076923,4333175871.876254,4658118868.388311,46.84413
78,14,11,3,1.5086659490972176,13.1928128572599,71.42857142857143,4658118868.388311,5272655773.363494,52.310318
79,11,8,3,2.0296685726669286,14.025760856210962,90.9090909090909,5272655773.363494,6012185862.906658,52.656525
80,14,11,3,1.9231398953605876,16.693529985266164,85.71428571428571,6012185862.906658,7015831912.700914,51.75809
81,19,15,4,1.4481127995551635,18.36925932163308,84.21052631578947,7015831912.700914,8304588270.314836,51.015686
82,29,22,7,1.6176723793006034,32.55532629760767,86.20689655172413,8304588270.314836,11008174079.388683,54.07647
83,28,22,6,1.3914767263906542,25.888523048689443,82.14285714285714,11008174079.388683,13858027763.17108,52.351963
84,23,17,6,1.4035984724251749,21.769705962191903,82.6086956521739,13858027763.17108,16874879659.372343,54.263885
85,21,15,6,1.6637762094353339,21.96701343571947,85.71428571428571,16874879659.372343,20581786741.408157,54.153145
86,17,13,4,2.328157028687869,22.606343367846275,88.23529411764706,20581786741.408157,25234576123.408745,53.341938
87,15,14,1,1.7588475565479704,12.776469825059142,60.0,25234576123.408745,28458664127.29764,45.0465
88,25,24,1,1.1856920826883384,14.073980694060198,40.0,28458664127.29764,32463931022.360947,44.94136
89,37,35,2,1.0105557749824639,19.173078559679908,35.13513513513514,32463931022.360947,38688266020.83851,47.212875
90,57,53,4,0.7023854574085369,24.029166964612962,33.33333333333333,38688266020.83851,47984734058.69942,50.724636
91,61,56,5,0.8073505256509298,31.665904215906316,32.78688524590164,47984734058.69942,63179533983.98455,52.06441
92,58,53,5,0.7623381815287893,28.840628178933375,34.48275862068966,63179533983.98455,81400908465.48839,52.99344
93,48,44,4,1.0505764822871613,32.53649950992224,43.75,81400908465.48839,107885914649.43427,55.12293
94,48,44,4,0.9925435076661441,30.14209287392231,52.083333333333336,107885914649.43427,140404987240.9473,55.60498
95,36,31,5,1.3752068435581366,31.149886285377605,63.888888888888886,140404987240.9473,184140981105.5013,56.554527
96,37,30,7,1.3437722837952901,31.94851898021156,70.27027027027027,184140981105.5013,242971297404.34018,55.939495
97,47,32,15,2.4179852408672575,106.38519795630789,68.08510638297872,242971297404.34018,501456793124.9571,58.255123
98,51,31,20,2.620206118585243,131.0519147334263,68.62745098039215,501456793124.9571,1158625522076.0496,58.925255
99,54,34,20,2.582153267549755,131.39493993127974,70.37037037037037,1158625522076.0496,2681000830836.351,57.47068
