window,side,entry_price,exit_price,size,pnl_pct,leveraged_pnl_pct,net_pnl,exit_reason,hold_time
1,SHORT,120132.2,120254.1,8979.32047259655,-0.10147154551403265,-0.4058861820561306,-72.36310293119283,ML_EXIT,15
1,SHORT,120254.1,120285.4,9161.468670624103,-0.026028218580479465,-0.10411287432191786,-46.18414304558516,ML_EXIT,1
1,SHORT,120285.4,120449.5,9124.733417967804,-0.13642553460353943,-0.5457021384141577,-86.29279905831278,ML_EXIT,1
1,SHORT,120449.5,120522.6,9023.538679195877,-0.06068933453439476,-0.24275733813757905,-57.99945702021428,ML_EXIT,1
1,SHORT,120522.6,120491.2,8996.466309987152,0.02605320495907716,0.10421281983630865,-26.610394012687493,ML_EXIT,1
1,SHORT,120491.2,119987.8,8948.150602872254,0.4177898468933783,1.6711593875735131,113.74525640262655,ML_EXIT,39
1,SHORT,119987.8,120233.4,9136.531980341408,-0.20468747656010966,-0.8187499062404386,-111.35147494403859,ML_EXIT,3
1,SHORT,120233.4,120219.3,9038.78378732605,0.011727190614248012,0.04690876245699205,-31.915153533506313,ML_EXIT,1
1,SHORT,120219.3,120440.9,9004.404626456186,-0.18432980394994086,-0.7373192157997634,-102.40882408504912,ML_EXIT,1
1,SHORT,120440.9,120155.1,8898.211955499042,0.23729480600027764,0.9491792240011105,48.86713136718368,ML_EXIT,1
1,SHORT,120155.1,120138.1,8915.254588585449,0.014148379885664444,0.056593519542657775,-30.615562006473,ML_EXIT,1
1,SHORT,120138.1,120014.9,8923.28660248634,0.10254865026166689,0.41019460104666755,0.9096934693742185,ML_EXIT,1
1,SHORT,120014.9,119836.7,8917.95881053928,0.14848156353919145,0.5939262541567658,17.294263468522097,ML_EXIT,1
1,SHORT,119836.7,119925.0,8918.795610143297,-0.07368360443837565,-0.2947344177535026,-61.961942752753984,ML_EXIT,1
1,SHORT,119925.0,119983.8,8819.401284585547,-0.0490306441525978,-0.1961225766103912,-52.574442179281306,ML_EXIT,1
1,SHORT,119983.8,119970.7,8832.691297800873,0.01091814061565463,0.04367256246261852,-31.473302567041134,ML_EXIT,1
1,SHORT,119970.7,119952.3,8805.564660544786,0.015337078136573498,0.06134831254629399,-29.820193312762115,ML_EXIT,1
1,SHORT,119952.3,120035.6,8763.768243025022,-0.0694442707642979,-0.2777770830571916,-59.39881276346749,ML_EXIT,1
1,SHORT,120035.6,119980.3,8714.87636106635,0.04606966599908936,0.18427866399635745,-18.79984771715796,ML_EXIT,1
1,SHORT,119980.3,120030.0,8682.726232254896,-0.041423467019166556,-0.16569386807666622,-49.117649877750104,ML_EXIT,1
1,SHORT,120030.0,120175.5,8631.882789235637,-0.12121969507623094,-0.48487878030492376,-76.38169914273894,ML_EXIT,1
1,SHORT,120175.5,120017.0,8587.692807633215,0.13189044355962737,0.5275617742385095,10.954613311569794,ML_EXIT,1
1,SHORT,120017.0,119953.9,8556.587525871166,0.05257588508295143,0.21030354033180573,-16.231543604987937,ML_EXIT,1
1,SHORT,119953.9,120116.2,8548.858973074019,-0.13530197851008005,-0.5412079140403202,-80.46253721471871,ML_EXIT,1
1,SHORT,120116.2,120197.5,8497.924146049401,-0.06768445888231804,-0.27073783552927216,-56.99879248213114,ML_EXIT,1
1,SHORT,120197.5,120161.2,8451.643908322903,0.03020029534724342,0.12080118138897368,-23.59688994524832,ML_EXIT,1
1,SHORT,120161.2,120199.8,8428.115821361687,-0.03212351407942482,-0.12849405631769928,-44.542091175468165,ML_EXIT,1
1,SHORT,120199.8,120293.9,8385.831034702287,-0.0782863199439527,-0.3131452797758108,-59.803158193954395,ML_EXIT,1
1,SHORT,120293.9,120114.5,8324.394641480561,0.149134744155767,0.596538976623068,16.360680038431404,ML_EXIT,1
