window,total_trades,long_trades,short_trades,return_pct,final_capital,win_rate,ml_exit_rate,avg_hold_time
23,32,13,19,7.368715467947931,10736.871546794793,75.0,81.25,37.25
24,47,13,34,11.509511503174526,11150.951150317453,57.446808510638306,91.48936170212765,24.5531914893617
25,50,15,35,6.016045715909677,10601.604571590968,54.0,88.0,23.28
26,52,11,41,-0.7199719540137812,9928.002804598622,42.30769230769231,88.46153846153845,19.442307692307693
27,59,13,46,-3.1144540233372573,9688.554597666274,44.06779661016949,88.13559322033898,17.71186440677966
28,57,11,46,-12.114310193730034,8788.568980626997,42.10526315789473,85.96491228070175,19.035087719298247
29,37,10,27,-9.183062470142922,9081.693752985708,51.35135135135135,75.67567567567568,27.972972972972972
30,39,15,24,-4.083784344044561,9591.621565595544,51.28205128205128,82.05128205128204,27.512820512820515
31,43,27,16,-18.09511223566599,8190.488776433401,44.18604651162791,76.74418604651163,28.11627906976744
32,42,25,17,-24.21029324022812,7578.970675977188,38.095238095238095,73.80952380952381,28.5
33,46,32,14,-29.402772072313226,7059.722792768677,36.95652173913043,76.08695652173914,22.26086956521739
34,59,37,22,-28.180533442498817,7181.946655750118,42.3728813559322,77.96610169491525,21.322033898305083
35,51,31,20,-28.74484752118933,7125.515247881067,43.13725490196079,72.54901960784314,24.54901960784314
36,39,21,18,-12.439708810482461,8756.029118951754,53.84615384615385,69.23076923076923,33.23076923076923
37,47,25,22,-20.062607630030787,7993.739236996921,53.191489361702125,70.2127659574468,27.829787234042552
38,53,21,32,-6.183030295185981,9381.696970481402,58.490566037735846,77.35849056603774,24.358490566037737
39,63,26,37,-21.926238499994923,7807.376150000508,49.2063492063492,79.36507936507937,19.666666666666668
40,73,37,36,-24.20719840246729,7579.280159753271,43.83561643835616,83.56164383561644,16.73972602739726
41,87,42,45,-25.296841243048217,7470.315875695178,45.97701149425287,86.20689655172413,12.96551724137931
42,88,52,36,-19.182621540771414,8081.7378459228585,40.909090909090914,90.9090909090909,11.090909090909092
43,79,47,32,-18.944450515403723,8105.554948459628,36.708860759493675,91.13924050632912,11.632911392405063
44,82,48,34,-5.134092856125207,9486.59071438748,42.68292682926829,93.90243902439023,11.292682926829269
45,85,49,36,-3.607374871858865,9639.262512814114,45.88235294117647,92.94117647058823,10.282352941176471
46,82,43,39,-4.473738993870175,9552.626100612983,43.90243902439025,93.90243902439023,11.329268292682928
47,79,35,44,-14.514232584866733,8548.576741513327,44.303797468354425,91.13924050632912,12.379746835443038
48,88,51,37,-13.744329158997607,8625.56708410024,46.590909090909086,90.9090909090909,11.954545454545455
49,72,43,29,-15.191509813221,8480.8490186779,41.66666666666667,88.88888888888889,14.041666666666666
50,56,30,26,-15.06038257153732,8493.961742846268,44.642857142857146,83.92857142857143,20.125
