window,total_trades,long_trades,short_trades,avg_leveraged_return,total_return_pct,win_rate,final_capital,avg_position_size
45,8,6,2,2.8109512643091605,7.429794773106732,100.0,10742.979477310673,38.212364
46,10,8,2,3.75827413027673,13.046220851472007,100.0,11304.6220851472,37.279087
47,10,6,4,3.845436891980015,14.670342014563156,100.0,11467.034201456316,40.60115
48,7,4,3,4.49851659753022,11.587310639283368,100.0,11158.731063928337,38.530663
49,13,5,8,4.233916266394874,21.632049241230654,100.0,12163.204924123065,39.71391
50,16,6,10,4.507005283215418,32.45231558425741,100.0,13245.231558425741,43.256767
51,16,6,10,4.37862801750525,34.188661009257956,100.0,13418.866100925796,46.34957
52,16,9,7,4.171682395307216,34.00413671695897,100.0,13400.413671695896,48.094093
53,19,10,9,4.191625488900206,41.002559615716855,100.0,14100.255961571685,48.051327
54,19,11,8,4.596995877158498,51.13771349527413,100.0,15113.771349527413,52.58791
55,16,9,7,4.145938463531939,34.778241200569354,93.75,13477.824120056935,49.70011
56,15,7,8,4.233847596969073,33.649374259556645,100.0,13364.937425955664,50.868923
57,15,6,9,4.643354142878726,39.5599917722249,100.0,13955.99917722249,51.736946
58,17,9,8,4.339758976284705,41.586263264289805,100.0,14158.626326428981,50.919647
59,15,9,6,4.526060816307117,36.24078163606199,100.0,13624.078163606198,48.017185
60,21,15,6,4.15383920443905,49.61596807898391,90.47619047619048,14961.596807898391,47.481068
61,19,14,5,4.131299246651919,41.65060449875436,89.47368421052632,14165.060449875436,46.131397
62,16,13,3,3.1847847418098056,23.42736170514803,87.5,12342.736170514803,44.663486
63,14,11,3,3.1412956968395265,19.667868156737878,85.71428571428571,11966.786815673788,42.879536
64,13,11,2,3.4419337004132142,20.73192806893552,84.61538461538461,12073.192806893552,43.06238
65,12,10,2,3.3311521430624667,17.799094117203314,83.33333333333334,11779.909411720331,42.374397
66,12,10,2,3.2010436402951066,17.086401958863227,83.33333333333334,11708.640195886323,42.202248
67,13,11,2,3.4605560963240634,20.313941082828716,84.61538461538461,12031.394108282871,42.324135
68,12,10,2,3.6452424482271075,19.014481546182598,83.33333333333334,11901.44815461826,41.59216
69,11,9,2,2.6955571958250824,11.2656584856637,81.81818181818183,11126.56584856637,41.488464
70,9,5,4,3.4568600911484824,13.897169594816223,100.0,11389.716959481622,47.953545
71,10,5,5,3.3488767756952655,14.896559763941058,100.0,11489.655976394106,47.73211
72,10,5,5,3.236813825978825,15.96865227301987,100.0,11596.865227301987,52.471413
73,13,8,5,3.2776091675882983,20.115605300369786,100.0,12011.560530036979,48.729164
74,14,8,6,3.215827130348724,20.912786331378992,100.0,12091.2786331379,47.474045
75,11,6,5,2.942529986713138,14.137445109681085,100.0,11413.744510968108,45.982143
76,8,4,4,2.8504805228497396,9.64359434872782,100.0,10964.359434872782,46.786137
77,10,3,7,2.883328656392937,12.737828386646289,90.0,11273.782838664629,47.33107
78,10,3,7,2.915065424587344,13.06817785469013,90.0,11306.817785469013,48.22167
79,11,6,5,2.3522557064878766,11.298011879446548,72.72727272727273,11129.801187944655,46.381367
80,14,7,7,2.691543934506776,17.113670981339475,78.57142857142857,11711.367098133947,46.842846
81,20,10,10,2.784840457652997,25.776998843154637,85.0,12577.699884315463,46.158394
82,18,10,8,2.571054107491623,19.569507216690834,88.88888888888889,11956.950721669084,43.660244
83,14,7,7,2.600704625195081,15.165663122644146,85.71428571428571,11516.566312264415,43.328777
84,14,9,5,2.7549693038617584,16.564121264681926,92.85714285714286,11656.412126468193,44.22284
85,16,10,6,2.859959741330494,20.56290630825064,93.75,12056.290630825064,45.23166
86,14,12,2,2.358132535708435,13.449020958537167,78.57142857142857,11344.902095853717,43.490696
87,15,13,2,2.525639050299255,17.563691574559343,80.0,11756.369157455934,47.406254
88,17,12,5,2.374465858377838,17.765465675559174,82.35294117647058,11776.546567555917,46.552505
89,14,7,7,1.9103991186824858,12.61025975146067,78.57142857142857,11261.025975146067,47.86194
90,14,7,7,2.4719729263866776,18.39717501468358,78.57142857142857,11839.717501468358,48.539654
91,13,6,7,2.8244313058848682,20.11496224158649,92.3076923076923,12011.496224158649,51.93978
92,15,4,11,2.714424067664872,21.60541929393443,93.33333333333333,12160.541929393443,49.747936
93,16,5,11,3.0756904350684136,26.469236982136753,93.75,12646.923698213675,50.162952
94,15,6,9,3.2927743268011325,23.143191762559237,100.0,12314.319176255924,48.177944
95,17,7,10,3.819258539199343,35.40139489107445,100.0,13540.139489107445,50.82088
96,17,5,12,6.184279693545738,68.49996050462535,100.0,16849.996050462534,52.385914
97,20,13,7,5.494675989924617,77.48380526374517,75.0,17748.380526374516,54.60101
98,24,14,10,4.7665739699196665,77.14560952085183,66.66666666666666,17714.560952085183,51.792652
99,22,15,7,5.698507279702779,93.01200684511943,77.27272727272727,19301.200684511943,56.169033
100,22,15,7,4.718014961919343,71.90296286352805,77.27272727272727,17190.296286352805,55.005413
101,25,18,7,3.7723904368520307,58.60318759024092,80.0,15860.318759024092,51.663715
102,19,11,8,5.0362351574072965,60.963755196663485,100.0,16096.375519666348,51.440746
103,21,14,7,4.857017800641563,64.77731090860867,100.0,16477.731090860867,49.716145
104,19,13,6,3.881359028370532,41.33366355879554,94.73684210526315,14133.366355879554,47.18749
105,20,15,5,4.106729706561065,48.11682741011655,95.0,14811.682741011655,47.904415
106,21,15,6,2.92995457828749,34.14277085104817,80.95238095238095,13414.277085104817,47.86864
107,16,10,6,4.9048564877113945,48.636901112382816,93.75,14863.690111238282,49.692894
