entry_idx,entry_time,entry_price,exit_idx,exit_time,exit_price,side,entry_prob,position_size_pct,hold_time,exit_reason,pnl_pct,balance_before,balance_after
25609,2025-10-11 12:25:00,112425.8,25659,2025-10-11 16:35:00,111490.3,LONG,0.8805576,0.48304433,50,stop_loss,-0.01800990918735864,2.6863318837309778,2.6379512904578766
25610,2025-10-11 12:30:00,112297.0,25691,2025-10-11 19:15:00,111196.9,LONG,0.8204537,0.31220365,81,stop_loss,-0.01348263135945692,2.6379512904578766,2.6023847656644294
25642,2025-10-11 15:10:00,112236.2,25691,2025-10-11 19:15:00,111196.9,LONG,0.987033,0.8924118,49,stop_loss,-0.03662435204675417,2.6023847656644294,2.5070741098456257
25645,2025-10-11 15:25:00,112151.5,25691,2025-10-11 19:15:00,111196.9,LONG,0.9781796,0.85398287,46,stop_loss,-0.032491317657901746,2.5070741098456257,2.4256159685507304
25647,2025-10-11 15:35:00,112023.2,25692,2025-10-11 19:20:00,111096.2,LONG,0.9093342,0.58160555,45,stop_loss,-0.021577732593509626,2.4256159685507304,2.373276675806796
25666,2025-10-11 17:10:00,112015.4,25692,2025-10-11 19:20:00,111096.2,LONG,0.98023635,0.8628451,26,stop_loss,-0.03177345895156808,2.373276675806796,2.297869466767335
25668,2025-10-11 17:20:00,112020.7,25692,2025-10-11 19:20:00,111096.2,LONG,0.98441744,0.88098276,24,stop_loss,-0.03260671870731687,2.297869466767335,2.2229434834383204
25688,2025-10-11 19:00:00,111810.6,25698,2025-10-11 19:50:00,110866.1,LONG,0.8110392,0.29048252,10,stop_loss,-0.010977126179713494,2.2229434834383204,2.1985419523302463
25731,2025-10-11 22:35:00,111200.0,25734,2025-10-11 22:50:00,111068.4,LONG,0.94123954,0.7017851,3,ml_exit,-0.006129259685818387,2.1985419523302463,2.185066517774248
25747,2025-10-11 23:55:00,110597.8,25748,2025-10-12 00:00:00,110433.8,SHORT,0.76040304,0.20636636,1,ml_exit,0.0003985763781922078,2.185066517774248,2.1859374336730113
25767,2025-10-12 01:35:00,109944.3,25769,2025-10-12 01:45:00,110199.8,LONG,0.9240281,0.6355924,2,ml_exit,0.0033658533219553754,2.1859374336730113,2.193294978445726
25768,2025-10-12 01:40:00,109958.8,25769,2025-10-12 01:45:00,110199.8,LONG,0.91379243,0.5977333,1,ml_exit,0.0028493468963386565,2.193294978445726,2.1995444366853154
25769,2025-10-12 01:45:00,110199.8,25772,2025-10-12 02:00:00,110233.5,LONG,0.93473727,0.67641234,3,ml_exit,-0.00187823967128498,2.1995444366853154,2.195413165065579
25771,2025-10-12 01:55:00,109935.9,25772,2025-10-12 02:00:00,110233.5,LONG,0.932701,0.66855717,1,ml_exit,0.004564993930230128,2.195413165065579,2.2054352128384505
