start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,final_capital,avg_position_size,liquidations
12384,13824,Sideways,0.10551258561448777,-1.7518371385228717,1.8573497241373595,2,50.0,10010.551258561449,51.96243271976711,0
12672,14112,Bear,0.10551258561448777,-5.853712628599047,5.959225214213535,2,50.0,10010.551258561449,51.96243271976711,0
12960,14400,Bear,0.10551258561448777,-5.201186834529879,5.3066994201443665,2,50.0,10010.551258561449,51.96243271976711,0
13248,14688,Bear,0.0,-3.0930765201344674,3.0930765201344674,0,0.0,10000.0,0.0,0
13536,14976,Sideways,0.0,-1.3375690546601222,1.3375690546601222,0,0.0,10000.0,0.0,0
13824,15264,Sideways,0.0,0.5189902203162086,-0.5189902203162086,0,0.0,10000.0,0.0,0
14112,15552,Bull,0.0,4.657530501896513,-4.657530501896513,0,0.0,10000.0,0.0,0
14400,15840,Bull,0.0,7.248375460768837,-7.248375460768837,0,0.0,10000.0,0.0,0
14688,16128,Bull,0.0,9.833426283858959,-9.833426283858959,0,0.0,10000.0,0.0,0
14976,16416,Bull,0.6537662051510961,10.428100344162184,-9.774334139011088,1,100.0,10065.37662051511,49.883483111858375,0
15264,16704,Bull,0.6537662051510961,7.136880853909378,-6.483114648758282,1,100.0,10065.37662051511,49.883483111858375,0
15552,16992,Bull,0.05017310991601335,7.100365616233211,-7.050192506317198,2,50.0,10005.017310991601,49.46525054425002,0
