side,entry_price,exit_price,entry_idx,exit_idx,hold_time,position_size_pct,leveraged_value,entry_fee,exit_fee,total_fees,position_pnl,net_pnl,exit_reason,entry_prob,exit_prob,window
SHORT,115145.6,113363.0,815,935,120,0.43086654,18024.596310253826,9.012298155126913,9.012298155126913,18.024596310253827,279.04362287971554,270.0313247245886,MAX_HOLD,0.7538412,0.0,4
SHORT,113089.4,113635.6,967,1087,120,0.44630694,19136.49876775978,9.56824938387989,9.56824938387989,19.13649876775978,-92.42559980821026,-101.99384919209015,MAX_HOLD,0.7680899,0.0,4
SHORT,113456.2,112388.1,1109,1229,120,0.44267803,18783.356056221048,9.391678028110524,9.391678028110524,18.78335605622105,176.83037686481248,167.43869883670195,MAX_HOLD,0.7647757,0.0,4
SHORT,113158.1,113954.0,1285,1405,120,0.4621995,19903.872497993925,9.951936248996963,9.951936248996963,19.903872497993927,-139.994327592574,-149.94626384157095,MAX_HOLD,0.7823707,0.0,4
SHORT,113677.5,114259.8,0,120,120,0.5509503,22038.01171875,11.019006729125977,11.019006729125977,22.038013458251953,-112.88719600473436,-123.90620273386034,MAX_HOLD,0.85644007,0.0,5
SHORT,114305.3,114300.5,121,241,120,0.6607833,26074.70753361035,13.037353766805175,13.037353766805175,26.07470753361035,1.094950069344165,-11.94240369746101,MAX_HOLD,0.93859655,0.0,5
SHORT,114356.0,114942.1,242,362,120,0.45357972,17853.071170592495,8.926535585296248,8.926535585296248,17.853071170592496,-91.5009707674662,-100.42750635276245,MAX_HOLD,0.77467114,0.0,5
SHORT,114926.8,114283.7,363,483,120,0.4908743,19106.283206521108,9.553141603260555,9.553141603260555,19.10628320652111,106.91371142426165,97.36056982100109,MAX_HOLD,0.8072677,0.0,5
SHORT,114139.8,113141.3,487,607,120,0.44942024,17650.618498459586,8.825309249229793,8.825309249229793,17.650618498459586,154.40838840362343,145.58307915439363,MAX_HOLD,0.77091694,0.0,5
SHORT,113591.0,113470.4,619,739,120,0.5003394,19924.128162782505,9.962064081391253,9.962064081391253,19.924128162782505,21.153523223069488,11.191459141678235,MAX_HOLD,0.81526524,0.0,5
SHORT,113418.9,114297.1,740,860,120,0.4671054,18603.00653914155,9.301503269570775,9.301503269570775,18.60300653914155,-144.04266257805642,-153.3441658476272,MAX_HOLD,0.7867062,0.0,5
SHORT,114352.8,114869.9,861,981,120,0.5879115,23031.762582617066,11.515881291308533,11.515881291308533,23.031762582617066,-104.14895333976155,-115.66483463107008,MAX_HOLD,0.8850573,0.0,5
SHORT,114901.9,115453.0,982,1102,120,0.5906316,22837.856914571632,11.418928457285816,11.418928457285816,22.83785691457163,-109.53642146579438,-120.95534992308019,MAX_HOLD,0.8871209,0.0,5
SHORT,115609.9,117093.4,1103,1216,113,0.6293872,24003.1545723152,12.0015772861576,12.0015772861576,24.0031545723152,-308.0071845752795,-320.0087618614371,STOP_LOSS,0.9159538,0.0,5
SHORT,117380.0,116502.7,1217,1337,120,0.6306881,23215.186506345082,11.607593253172542,11.607593253172542,23.215186506345084,173.51067577114165,161.9030825179691,MAX_HOLD,0.9169041,0.0,5
SHORT,116678.7,116669.7,0,120,120,0.508433,20337.3203125,10.168660163879395,10.168660163879395,20.33732032775879,1.5687171935623212,-8.599942970317073,MAX_HOLD,0.8220243,0.0,6
SHORT,116599.8,117357.3,129,249,120,0.4674121,18661.393342725296,9.330696671362649,9.330696671362649,18.661393342725297,-121.2352461763606,-130.56594284772325,MAX_HOLD,0.78697616,0.0,6
SHORT,117185.5,116641.5,250,370,120,0.6221743,24492.102435081582,12.246051217540792,12.246051217540792,24.492102435081584,113.69754555541753,101.45149433787674,MAX_HOLD,0.9106649,0.0,6
SHORT,116669.7,118499.2,384,451,67,0.48789024,19380.054150687247,9.690027075343624,9.690027075343624,19.380054150687247,-303.89903349954886,-313.58906057489247,STOP_LOSS,0.80472475,0.0,6
SHORT,118650.0,118343.5,452,572,120,0.6293872,24186.747963321355,12.093373981660678,12.093373981660678,24.186747963321356,62.4798841193257,50.38651013766503,MAX_HOLD,0.9159538,0.0,6
SHORT,118511.9,119197.9,573,693,120,0.6172476,23814.779424895867,11.907389712447934,11.907389712447934,23.814779424895868,-137.85061825418853,-149.75800796663646,MAX_HOLD,0.9070327,0.0,6
SHORT,119197.2,120802.8,694,717,23,0.59642017,22625.529680910327,11.312764840455165,11.312764840455165,22.62552968091033,-304.76848831742484,-316.08125315788,STOP_LOSS,0.8914943,0.0,6
SHORT,121250.0,120183.6,718,838,120,0.62457776,22875.771442841662,11.437885721420832,11.437885721420832,22.875771442841664,201.19358900326776,189.75570328184693,MAX_HOLD,0.912431,0.0,6
SHORT,120256.8,118440.9,839,959,120,0.4720707,17626.76540622635,8.813382703113176,8.813382703113176,17.62676540622635,266.16742921120954,257.35404650809636,MAX_HOLD,0.7910611,0.0,6
SHORT,119069.0,118465.7,993,1113,120,0.43950424,16847.697005560472,8.423848502780237,8.423848502780237,16.847697005560473,85.36407968030875,76.94023117752852,MAX_HOLD,0.7618601,0.0,6
SHORT,118343.1,119730.7,1128,1248,120,0.42757374,16507.543628863048,8.253771814431524,8.253771814431524,16.507543628863047,-193.55473651957928,-201.8085083340108,MAX_HOLD,0.7507509,0.0,6
SHORT,119748.5,119797.8,1249,1369,120,0.5102323,19270.060985715932,9.635030492857966,9.635030492857966,19.270060985715933,-7.93341049446007,-17.568440987318034,MAX_HOLD,0.82351726,0.0,6
SHORT,119879.9,121967.0,1370,1434,64,0.48791975,18374.28417589486,9.18714208794743,9.18714208794743,18.37428417589486,-319.89489900734213,-329.0820410952896,STOP_LOSS,0.80474997,0.0,6
SHORT,121525.5,123061.5,0,99,99,0.5955044,23820.17578125,11.910088539123535,11.910088539123535,23.82017707824707,-301.0708863571843,-312.9809748963078,STOP_LOSS,0.89080405,0.0,7
SHORT,123537.8,121720.2,100,220,120,0.6154132,23816.75840907213,11.908379204536065,11.908379204536065,23.81675840907213,350.4137202081439,338.50534100360784,MAX_HOLD,0.9056761,0.0,7
SHORT,121736.3,118062.5,221,341,120,0.511942,20481.174305595163,10.240587152797582,10.240587152797582,20.481174305595164,618.0879340336085,607.8473468808108,MAX_HOLD,0.8249327,0.0,7
SHORT,118328.5,118693.1,353,473,120,0.4330531,18360.26095786656,9.18013047893328,9.18013047893328,18.36026095786656,-56.57260208012655,-65.75273255905984,MAX_HOLD,0.755883,0.0,7
SHORT,119145.4,117134.4,483,603,120,0.43896055,18479.150147363216,9.239575073681609,9.239575073681609,18.479150147363217,311.9010129333355,302.66143785965386,MAX_HOLD,0.761359,0.0,7
SHORT,117138.0,117486.6,604,724,120,0.4481318,19391.203581435777,9.69560179071789,9.69560179071789,19.39120358143578,-57.707776882724865,-67.40337867344276,MAX_HOLD,0.76974875,0.0,7
SHORT,117560.4,117664.0,730,850,120,0.43443888,18664.715431570312,9.332357715785156,9.332357715785156,18.66471543157031,-16.448264200451792,-25.780621916236946,MAX_HOLD,0.75717276,0.0,7
SHORT,117715.5,117308.6,851,971,120,0.47311458,20259.882162263802,10.129941081131902,10.129941081131902,20.259882162263803,70.03110084759462,59.90115976646271,MAX_HOLD,0.7919725,0.0,7
SHORT,117374.8,118235.4,998,1118,120,0.43381655,18663.414242603183,9.331707121301593,9.331707121301593,18.663414242603185,-136.8414199400905,-146.1731270613921,MAX_HOLD,0.75659394,0.0,7
SHORT,118241.3,117584.1,1119,1239,120,0.6440799,27308.61780931319,13.654308904656595,13.654308904656595,27.30861780931319,151.7847285532259,138.1304196485693,MAX_HOLD,0.9266249,0.0,7
SHORT,117684.2,115345.2,1240,1360,120,0.47020078,20170.357194758508,10.085178597379254,10.085178597379254,20.17035719475851,400.8903954697415,390.8052168723623,MAX_HOLD,0.7894249,0.0,7
SHORT,115713.2,115957.3,16,136,120,0.42940408,17176.1640625,8.588082313537598,8.588082313537598,17.176164627075195,-36.233564084791965,-44.82164639832956,MAX_HOLD,0.752471,0.0,8
SHORT,115859.5,115537.7,137,257,120,0.4783397,19031.396467566326,9.515698233783164,9.515698233783164,19.031396467566328,52.85974290639006,43.3440446726069,MAX_HOLD,0.7965134,0.0,8
SHORT,115436.3,113246.1,261,381,120,0.44704258,17846.688872590406,8.923344436295203,8.923344436295203,17.846688872590406,338.60941461868975,329.68607018239453,MAX_HOLD,0.76875925,0.0,8
SHORT,113266.1,113771.7,384,504,120,0.4277075,17623.57012994337,8.811785064971685,8.811785064971685,17.62357012994337,-78.6685253372299,-87.48031040220158,MAX_HOLD,0.7508768,0.0,8
SHORT,113969.6,113449.6,511,631,120,0.42891327,17508.0498132235,8.75402490661175,8.75402490661175,17.5080498132235,79.88258187162384,71.1285569650121,MAX_HOLD,0.75201035,0.0,8
SHORT,113575.0,113698.0,632,752,120,0.4848482,19912.25787487461,9.956128937437304,9.956128937437304,19.91225787487461,-21.56467284710171,-31.520801784539017,MAX_HOLD,0.8021214,0.0,8
SHORT,113599.0,113114.8,753,873,120,0.43586084,17828.08061834093,8.914040309170465,8.914040309170465,17.82808061834093,75.98972381271513,67.07568350354467,MAX_HOLD,0.7584929,0.0,8
SHORT,112467.2,113019.3,979,1099,120,0.45144564,18570.575146262763,9.285287573131383,9.285287573131383,18.570575146262765,-91.1627082229466,-100.44799579607799,MAX_HOLD,0.77274823,0.0,8
SHORT,112880.0,114776.7,1100,1149,49,0.45729396,18610.428899313858,9.30521444965693,9.30521444965693,18.61042889931386,-312.7073041577653,-322.01251860742224,STOP_LOSS,0.7780019,0.0,8
SHORT,115158.5,116583.3,1150,1162,12,0.6107408,24045.83602906031,12.022918014530154,12.022918014530154,24.045836029060307,-297.50741086593865,-309.5303288804688,STOP_LOSS,0.9022106,0.0,8
SHORT,116855.1,116627.1,1163,1283,120,0.6352805,24194.89739369542,12.09744869684771,12.09744869684771,24.19489739369542,47.20749548596985,35.11004678912214,MAX_HOLD,0.9202503,0.0,8
SHORT,116659.5,115537.1,1284,1404,120,0.6726902,25681.58221378844,12.840791106894219,12.840791106894219,25.681582213788438,247.08667426789924,234.24588316100503,MAX_HOLD,0.9470315,0.0,8
SHORT,114757.5,115229.8,11,131,120,0.4598117,18392.466796875,9.196233749389648,9.196233749389648,18.392467498779297,-75.6966827280493,-84.89291647743894,MAX_HOLD,0.7802484,0.0,9
