window,total_trades,long_trades,short_trades,return_pct,final_capital,win_rate,ml_exit_rate,avg_hold_time
27,6,2,4,17.35067019548098,11735.067019548098,83.33333333333334,83.33333333333334,39.833333333333336
28,6,2,4,17.35067019548098,11735.067019548098,83.33333333333334,83.33333333333334,39.833333333333336
29,3,0,3,18.499937677866164,11849.993767786616,100.0,100.0,54.333333333333336
30,1,0,1,7.560293085819413,10756.029308581941,100.0,100.0,59.0
31,1,1,0,1.918740369782863,10191.874036978286,100.0,100.0,47.0
32,1,1,0,1.918740369782863,10191.874036978286,100.0,100.0,47.0
33,1,1,0,1.918740369782863,10191.874036978286,100.0,100.0,47.0
34,1,1,0,1.918740369782863,10191.874036978286,100.0,100.0,47.0
35,53,53,0,-12.89011951424327,8710.988048575673,15.09433962264151,100.0,2.6226415094339623
36,53,52,1,-9.484187454268922,9051.581254573108,15.09433962264151,98.11320754716981,4.0
37,75,74,1,-12.194426095641301,8780.55739043587,16.0,98.66666666666667,3.3466666666666667
38,135,112,23,-19.21175303558406,8078.824696441594,21.48148148148148,99.25925925925925,3.0814814814814815
39,136,112,24,-8.483723374427173,9151.627662557283,22.058823529411764,99.26470588235294,3.536764705882353
40,83,60,23,1.0004640798417315,10100.046407984173,26.506024096385545,100.0,3.2409638554216866
41,83,60,23,1.0004640798417315,10100.046407984173,26.506024096385545,100.0,3.2409638554216866
42,74,38,36,1.0112158208780784,10101.121582087808,28.37837837837838,100.0,3.9594594594594597
43,18,0,18,-0.7952774463191417,9920.472255368086,38.88888888888889,100.0,6.333333333333333
44,18,0,18,-0.7952774463191417,9920.472255368086,38.88888888888889,100.0,6.333333333333333
45,18,0,18,-0.7952774463191417,9920.472255368086,38.88888888888889,100.0,6.333333333333333
46,37,19,18,-1.241347833093332,9875.865216690667,37.83783783783784,97.2972972972973,4.405405405405405
47,26,21,5,1.1605842169912284,10116.058421699123,46.15384615384615,96.15384615384616,3.923076923076923
48,23,21,2,-0.3378432988323402,9966.215670116766,39.130434782608695,95.65217391304348,3.391304347826087
49,30,21,9,13.022406707197387,11302.240670719739,36.666666666666664,93.33333333333333,8.6
50,32,21,11,17.071327472477606,11707.13274724776,37.5,90.625,10.40625
51,18,7,11,17.70835393114219,11770.83539311422,38.88888888888889,88.88888888888889,19.666666666666668
52,18,7,11,17.973693046728346,11797.369304672835,38.88888888888889,88.88888888888889,20.444444444444443
53,38,7,31,16.974798067748434,11697.479806774843,31.57894736842105,94.73684210526315,10.894736842105264
54,30,7,23,6.363762498098567,10636.376249809857,33.33333333333333,100.0,7.666666666666667
55,29,7,22,-0.45594790760807885,9954.405209239192,31.03448275862069,100.0,5.517241379310345
56,24,2,22,7.280215068361867,10728.021506836187,33.33333333333333,100.0,7.041666666666667
57,25,3,22,9.960251709586117,10996.025170958612,32.0,92.0,11.24
58,4,4,0,20.434728399402793,12043.47283994028,75.0,50.0,56.75
59,6,6,0,21.744533272796108,12174.45332727961,66.66666666666666,33.33333333333333,60.5
60,9,8,1,27.04185503243005,12704.185503243005,77.77777777777779,55.55555555555556,49.77777777777778
61,9,7,2,25.572197159436854,12557.219715943686,77.77777777777779,55.55555555555556,44.0
62,6,4,2,12.63438683398139,11263.438683398139,83.33333333333334,66.66666666666666,41.5
63,6,3,3,3.773477771137987,10377.347777113799,66.66666666666666,66.66666666666666,22.166666666666668
64,4,2,2,11.324581960588075,11132.458196058808,100.0,100.0,28.25
65,1,1,0,3.894402686453941,10389.440268645394,100.0,100.0,37.0
66,1,1,0,3.894402686453941,10389.440268645394,100.0,100.0,37.0
67,2,1,1,5.212587803195365,10521.258780319537,100.0,100.0,33.0
68,2,1,1,5.212587803195365,10521.258780319537,100.0,100.0,33.0
69,2,1,1,5.212587803195365,10521.258780319537,100.0,100.0,33.0
70,1,0,1,1.3181851167414242,10131.818511674142,100.0,100.0,29.0
71,1,0,1,1.3181851167414242,10131.818511674142,100.0,100.0,29.0
73,1,1,0,4.304361749534018,10430.436174953402,100.0,100.0,26.0
74,1,1,0,4.304361749534018,10430.436174953402,100.0,100.0,26.0
