entry_idx,exit_idx,side,entry_price,exit_price,position_size,hold_time,pnl_pct,leveraged_pnl_pct,gross_pnl,entry_fee,exit_fee,net_pnl,exit_reason,balance
3174,3175,LONG,107907.8,107921.1,8713.100736490871,1,0.012325337000664374,0.049301348002657494,4.295676115919478,4.356550368245435,4.358698206303395,-4.419572458629353,ML Exit (0.962),9167.265413321235
3180,3181,LONG,107932.0,107969.8,8708.902142655172,1,0.035022050920952924,0.1400882036838117,12.200144572226618,4.354451071327586,4.3605511436137,3.4851423572853326,ML Exit (0.893),9170.75055567852
3181,3182,LONG,107969.8,107995.2,8712.213027894593,1,0.023525096832627435,0.09410038733050974,8.198226204307943,4.356106513947297,4.36020562704945,-0.518085936688804,ML Exit (0.879),9170.232469741832
3182,3183,LONG,107995.2,107994.9,8711.72084625474,1,-0.00027779012400820625,-0.001111160496032825,-0.0968012005682392,4.35586042312737,4.355812022527086,-8.808473646222696,ML Exit (0.882),9161.42399609561
3183,3184,LONG,107994.9,108135.6,8703.352796290828,1,0.13028393007448652,0.5211357202979461,45.35628028502164,4.351676398145414,4.374354538287925,36.6302493485883,ML Exit (0.901),9198.054245444198
3185,3186,LONG,108013.7,108139.8,8738.151533171987,1,0.11674445000958752,0.4669778000383501,40.80522779362391,4.369075766585993,4.389478380482806,32.04667364655511,ML Exit (0.909),9230.100919090753
3187,3264,LONG,108190.2,107334.1,8768.595873136215,77,-0.7912916326987022,-3.1651665307948087,-277.54066179716233,4.384297936568108,4.245527605669527,-286.1704873393999,Stop Loss,8943.930431751354
3264,3265,LONG,107334.1,106964.8,8496.733910163786,1,-0.3440658653680451,-1.3762634614721805,-116.93744422410067,4.248366955081893,4.189898232969843,-125.3757094121524,ML Exit (0.942),8818.554722339202
3265,3266,LONG,106964.8,106611.9,8377.626986222242,1,-0.3299216190746944,-1.3196864762987777,-110.55841037193179,4.1888134931111205,4.133534287925155,-118.88075815296807,ML Exit (0.899),8699.673964186235
3266,3268,LONG,106611.9,106704.5,8264.690265976922,2,0.08685709569007384,0.34742838276029536,28.713879731231174,4.132345132988461,4.146702072854077,20.434832525388636,ML Exit (0.869),8720.108796711624
3268,3269,LONG,106704.5,106688.5,8284.103356876041,1,-0.014994681573879265,-0.05997872629551706,-4.968699678458422,4.142051678438021,4.139567328598791,-13.250318685495234,ML Exit (0.876),8706.858478026128
3283,3284,LONG,105095.0,104688.4,8271.51555412482,1,-0.38688805366573653,-1.5475522146629461,-128.00602214404873,4.135757777062411,4.071754765990386,-136.21353468710154,ML Exit (0.969),8570.644943339026
3293,3294,LONG,105023.6,105122.4,8142.112696172075,1,0.09407409382271066,0.37629637529084264,30.638474947791018,4.071056348086038,4.086375585559933,22.481043014145044,ML Exit (0.970),8593.12598635317
3297,3298,LONG,104868.1,105053.8,8163.469687035512,1,0.17707958854980407,0.7083183541992163,57.82335413276185,4.081734843517756,4.110646520584137,49.63097276865996,ML Exit (0.952),8642.75695912183
3298,3301,LONG,105053.8,105014.1,8210.619111165739,3,-0.03779016085091362,-0.15116064340365448,-12.411224675861547,4.10530955558287,4.0991039432449385,-20.615638174689355,ML Exit (0.959),8622.141320947141
3301,3302,LONG,105014.1,104954.0,8191.034254899783,1,-0.057230410011613504,-0.22892164004645402,-18.751049953083427,4.095517127449892,4.08614160247335,-26.93270868300667,ML Exit (0.956),8595.208612264134
3302,3303,LONG,104954.0,104914.3,8165.448181650927,1,-0.037826095241722174,-0.1513043809668887,-12.354680824419004,4.082724090825463,4.076546750413254,-20.51395166565772,ML Exit (0.953),8574.694660598476
3303,3304,LONG,104914.3,104476.7,8145.959927568551,1,-0.41710233971918587,-1.6684093588767435,-135.9079578019029,4.072979963784276,4.005025984883324,-143.9859637505705,ML Exit (0.963),8430.708696847905
3304,3305,LONG,104476.7,104696.7,8009.17326200551,1,0.21057326657522685,0.8422930663009074,67.4607110538986,4.004586631002755,4.038316986529704,59.41780743636615,ML Exit (0.967),8490.126504284272
3305,3306,LONG,104696.7,104614.0,8065.620179070058,1,-0.07899007323057661,-0.31596029292230643,-25.48415714379041,4.032810089535029,4.020068010963134,-33.537035244288575,ML Exit (0.967),8456.589469039984
3306,3307,LONG,104614.0,104592.3,8033.759995587984,1,-0.020742921597488948,-0.08297168638995579,-6.665746148860989,4.016879997793992,4.013547124719562,-14.696173271374542,ML Exit (0.967),8441.893295768608
3307,3308,LONG,104592.3,104169.2,8019.798630980177,1,-0.4045230863075062,-1.6180923452300249,-129.7677477507526,4.009899315490089,3.9450154416147125,-137.7226625078574,ML Exit (0.967),8304.170633260752
3308,3309,LONG,104169.2,103666.7,7888.962101597714,1,-0.4823882683173146,-1.9295530732692583,-152.22171068042573,3.944481050798857,3.8683701954586436,-160.03456192668324,ML Exit (0.965),8144.136071334068
3310,3311,LONG,103970.9,104199.6,7736.929267767365,1,0.21996539416318572,0.8798615766527429,68.07426783988545,3.8684646338836823,3.902501767803625,60.30330143819815,ML Exit (0.968),8204.439372772267
3314,3316,LONG,104639.4,104716.7,7794.217404133654,2,0.07387274774129335,0.2954909909651734,23.03121024545455,3.897108702066827,3.9086243071895543,15.225477236198167,ML Exit (0.882),8219.664850008465
3316,3333,LONG,104716.7,105744.2,7808.681607508041,17,0.9812188504794364,3.9248754019177454,306.4810236271583,3.9043408037540206,4.0575813155676,298.51910150783675,ML Exit (0.865),8518.183951516301
3334,3335,LONG,105548.7,105418.1,8092.274753940485,1,-0.12373435201001176,-0.49493740804004704,-40.05169491863213,4.0461373769702424,4.026111529510927,-48.1239438251133,ML Exit (0.922),8470.060007691187
3335,3336,LONG,105418.1,105606.0,8046.557007306627,1,0.17824263575229884,0.7129705430091954,57.369581188538525,4.023278503653314,4.051963294247583,49.294339390637624,ML Exit (0.913),8519.354347081824
3337,3338,LONG,105573.5,105450.8,8093.386629727733,1,-0.11622234746408625,-0.464889389856345,-37.62529572165626,4.046693314863867,4.027880667003038,-45.69986970352316,ML Exit (0.922),8473.6544773783
3338,3339,LONG,105450.8,105381.5,8049.971753509385,1,-0.0657178513581717,-0.2628714054326868,-21.16107388538442,4.024985876754693,4.014405339812001,-29.20046510195111,ML Exit (0.917),8444.45401227635
3339,3340,LONG,105381.5,105294.0,8022.231311662532,1,-0.08303165166561492,-0.3321266066624597,-26.6439646340381,4.011115655831266,3.9977936735142467,-34.65287396338361,ML Exit (0.907),8409.801138312967
3340,3341,LONG,105294.0,105334.3,7989.311081397318,1,0.038273785780768996,0.15309514312307598,12.231247234612994,3.994655540698659,4.000771164315966,4.235820529598369,ML Exit (0.896),8414.036958842566
3341,3342,LONG,105334.3,105270.3,7993.335110900437,1,-0.06075893607305502,-0.24303574429222008,-19.426661480548233,3.9966675554502187,3.9869542247099443,-27.410283260708397,ML Exit (0.913),8386.626675581858
3342,3343,LONG,105270.3,104858.6,7967.295341802765,1,-0.3910884646476709,-1.5643538585906835,-124.63669210480734,3.9836476709013824,3.9213293248489784,-132.5416691005577,ML Exit (0.966),8254.0850064813
3343,3344,LONG,104858.6,105295.0,7841.380756157235,1,0.41617950268265475,1.664718010730619,130.5368777377143,3.9206903780786173,3.985958816947475,122.6302285426882,ML Exit (0.915),8376.715235023988
3345,3349,LONG,105525.5,105276.5,7957.879473272788,4,-0.23596192389517223,-0.9438476955806889,-75.11026202557389,3.978939736636394,3.941384605623607,-83.03058636783389,ML Exit (0.940),8293.684648656155
3349,3350,LONG,105276.5,105367.7,7879.000416223347,1,0.08662901977174117,0.3465160790869647,27.30200331354277,3.939500208111674,3.9531512097684445,19.409351895662653,ML Exit (0.946),8313.094000551819
3351,3352,LONG,105876.1,105778.8,7897.439300524227,1,-0.09189987164242251,-0.36759948656969005,-29.03094632087998,3.9487196502621136,3.9342041771016736,-36.913870148243774,ML Exit (0.939),8276.180130403574
3352,3353,LONG,105778.8,105520.7,7862.371123883395,1,-0.2439997428596333,-0.9759989714385332,-76.73666129978218,3.9311855619416973,3.8928172312918066,-84.56066409301569,ML Exit (0.931),8191.619466310559
3353,3354,LONG,105520.7,105144.5,7782.0384929950305,1,-0.3565177259059095,-1.426070903623638,-110.97738665739358,3.8910192464975153,3.8355305531688186,-118.70393645705992,ML Exit (0.954),8072.915529853499
3354,3355,LONG,105144.5,105366.6,7669.269753360823,1,0.21123311252610058,0.8449324501044023,64.80014883218746,3.8346348766804117,3.8670349510965054,57.09847900441054,ML Exit (0.946),8130.014008857909
3357,3358,LONG,105090.7,105010.7,7723.513308415013,1,-0.07612471893326432,-0.3044988757330573,-23.518011191216768,3.8617566542075066,3.849997648611898,-31.229765494036172,ML Exit (0.974),8098.784243363873
3358,3359,LONG,105010.7,104623.6,7693.845031195679,1,-0.36862910160582807,-1.4745164064233123,-113.4470072697651,3.8469225155978397,3.790199011962957,-121.08412879732589,ML Exit (0.974),7977.700114566547
3359,3360,LONG,104623.6,104651.0,7578.815108838219,1,0.02618911985440587,0.10475647941762348,7.939299889589847,3.7894075544191095,3.7933772043639054,0.3565151308068324,ML Exit (0.973),7978.056629697354
3360,3361,LONG,104651.0,105165.2,7579.1537982124855,1,0.49134743098488987,1.9653897239395595,148.959909911643,3.7895768991062426,3.8640568540620643,141.3062761584747,ML Exit (0.947),8119.362905855829
3362,3363,LONG,105656.7,105361.6,7713.394760563037,1,-0.27930079209363085,-1.1172031683745234,-86.17429065424474,3.8566973802815188,3.813610234954396,-93.84459826948066,ML Exit (0.863),8025.518307586349
3364,3365,LONG,105116.1,105495.8,7624.242392207031,1,0.3612196419007146,1.4448785676028584,110.16104426709086,3.8121211961035155,3.8672017182370606,102.48172135275028,ML Exit (0.929),8128.000028939099
3365,3366,LONG,105495.8,105455.7,7721.600027492143,1,-0.03801099190679233,-0.15204396762716932,-11.740227046099651,3.8608000137460716,3.8549299002230217,-19.455956960068747,ML Exit (0.926),8108.54407197903
3366,3367,LONG,105455.7,105450.0,7703.116868380079,1,-0.005405113237119558,-0.021620452948478232,-1.6654487580944048,3.8515584341900393,3.8507257098109924,-9.367732902095437,ML Exit (0.926),8099.176339076935
3367,3368,LONG,105450.0,105839.5,7694.217522123087,1,0.36936936936936937,1.4774774774774775,113.68033095749426,3.8471087610615435,3.9039489265402914,105.92927326989242,ML Exit (0.863),8205.105612346828
