entry_time,exit_time,side,entry_price,exit_price,position_size_pct,pnl_pct,pnl_usd,exit_reason,hold_time
2025-07-17 11:35:00,2025-07-17 13:50:00,LONG,118200.7,118367.6,0.42083677649497986,0.5648020697001244,57.25257773753738,ML_EXIT,27
2025-07-17 13:50:00,2025-07-17 13:55:00,LONG,118367.6,118297.7,0.8365331292152405,-0.23621328809575842,-47.70936077035959,ML_EXIT,1
2025-07-17 13:55:00,2025-07-17 14:00:00,LONG,118297.7,118366.0,0.6827346086502075,0.23094278248859584,37.99386052886476,ML_EXIT,1
2025-07-17 14:00:00,2025-07-17 14:05:00,LONG,118366.0,118360.0,0.8337098956108093,-0.020276092796918034,-4.0798158657206,ML_EXIT,1
2025-07-17 14:05:00,2025-07-17 14:10:00,LONG,118360.0,118490.0,0.7756076455116272,0.43933761405880367,82.22585227003145,ML_EXIT,1
2025-07-17 14:10:00,2025-07-17 14:15:00,LONG,118490.0,118390.4,0.7575889825820923,-0.33623090556167046,-61.676050306061775,ML_EXIT,1
2025-07-17 14:15:00,2025-07-17 14:20:00,LONG,118390.4,118512.0,0.6795197129249573,0.4108441224964383,67.42434634654356,ML_EXIT,1
2025-07-17 14:20:00,2025-07-17 14:25:00,LONG,118512.0,118739.0,0.7410109639167786,0.7661671391926556,137.49804426372515,ML_EXIT,1
2025-07-17 14:25:00,2025-07-17 14:30:00,LONG,118739.0,118834.1,0.7395549416542053,0.320366518161702,57.70648393627405,ML_EXIT,1
2025-07-17 14:30:00,2025-07-17 14:35:00,LONG,118834.1,118720.1,0.7741004824638367,-0.3837282396214554,-72.5196833893411,ML_EXIT,1
2025-07-17 14:35:00,2025-07-17 14:40:00,LONG,118720.1,118574.7,0.7414184212684631,-0.4898917706437536,-88.41100958004441,ML_EXIT,1
2025-07-17 14:40:00,2025-07-17 14:45:00,LONG,118574.7,118714.9,0.863777220249176,0.4729508065379785,99.07869027689615,ML_EXIT,1
2025-07-17 14:45:00,2025-07-17 14:50:00,LONG,118714.9,118794.9,0.6008710861206055,0.2695533585084939,39.442022566430005,ML_EXIT,1
2025-07-17 14:50:00,2025-07-17 14:55:00,LONG,118794.9,118789.9,0.6323714256286621,-0.01683573958141301,-2.5968113733792424,ML_EXIT,1
2025-07-17 14:55:00,2025-07-17 15:00:00,LONG,118789.9,118678.1,0.693277895450592,-0.37646298212217827,-63.65307074269269,ML_EXIT,1
2025-07-17 15:00:00,2025-07-17 15:05:00,LONG,118678.1,118541.9,0.7946687340736389,-0.4590568942374765,-88.73754442155348,ML_EXIT,1
2025-07-17 15:05:00,2025-07-17 15:10:00,LONG,118541.9,118454.9,0.95,-0.2935670847185679,-67.59250417646899,ML_EXIT,1
