start_idx,end_idx,regime,return,bh_return,difference,num_trades,num_long,num_short,win_rate,long_win_rate,short_win_rate,final_capital,avg_position_size,liquidations
14976,16416,Bull,26.743985375106917,10.428100344162184,16.315885030944735,28,25,3,64.28571428571429,68.0,33.33333333333333,12674.398537510691,54.95854044173446,0
15264,16704,Bull,19.297884371514957,7.136880853909378,12.161003517605579,25,22,3,60.0,63.63636363636363,33.33333333333333,11929.788437151496,55.00739578843118,0
15552,16992,Bull,26.41308842322083,7.100365616233211,19.31272280698762,26,22,4,65.38461538461539,72.72727272727273,25.0,12641.308842322083,55.10737200081349,0
15840,17280,Bull,24.602224641573084,6.146260312351646,18.455964329221437,28,24,4,60.71428571428571,66.66666666666666,25.0,12460.222464157308,55.49279042599456,0
16128,17568,Sideways,21.413508442451803,1.4937869816086962,19.919721460843107,28,26,2,57.14285714285714,61.53846153846154,0.0,12141.35084424518,55.78294702033912,0
16416,17856,Sideways,18.470802795243777,0.8578662780225046,17.61293651722127,24,22,2,58.333333333333336,63.63636363636363,0.0,11847.080279524378,55.766157825787865,0
16704,18144,Sideways,24.738766299721956,-0.7991978799078135,25.537964179629768,30,25,5,60.0,64.0,40.0,12473.876629972196,55.350378637015815,0
16992,18432,Bear,-48.41742912470791,-9.151412296241041,-39.26601682846687,40,33,7,55.00000000000001,54.54545454545454,57.14285714285714,5158.2570875292095,55.110910067334785,1
17280,18720,Bear,-39.07232674559311,-11.513087591848763,-27.559239153744347,54,44,10,59.25925925925925,56.81818181818182,70.0,6092.767325440689,55.664205163993216,1
17568,19008,Bear,-35.093224518343604,-6.221428339592507,-28.871796178751097,60,49,11,60.0,59.183673469387756,63.63636363636363,6490.67754816564,56.21781210030119,1
17856,19296,Bear,-33.31688550631476,-6.207144167322728,-27.109741338992034,65,51,14,58.46153846153847,56.86274509803921,64.28571428571429,6668.311449368523,55.54839791586767,1
