start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,final_capital,avg_position_size,liquidations
12384,13824,Bear,7.443182215222041,-4.58816158918232,12.031343804404361,21,61.904761904761905,10744.318221522204,54.261954382771535,0
12672,14112,Bear,2.052069536731451,-3.5901087036925317,5.642178240423982,18,44.44444444444444,10205.206953673145,53.26516268071201,0
12960,14400,Bear,1.747310355950376,-3.1152001581833435,4.862510514133719,19,42.10526315789473,10174.731035595038,51.99061830106535,0
13248,14688,Bear,1.6327678261224172,-4.523113444582006,6.155881270704423,25,40.0,10163.276782612242,52.4084487771988,0
13536,14976,Sideways,16.74626635591816,-0.628714897906023,17.37498125382418,32,53.125,11674.626635591816,52.8317899350077,0
13824,15264,Sideways,14.07301335582508,-1.073172959532851,15.14618631535793,27,55.55555555555556,11407.301335582508,53.34033409699247,0
14112,15552,Sideways,18.917600458254274,0.9296434874691165,17.987956970785156,19,73.68421052631578,11891.760045825427,53.916554388247064,0
14400,15840,Sideways,21.471725678794773,-1.1200991381738272,22.5918248169686,22,68.18181818181817,12147.172567879477,54.388699257915675,0
14688,16128,Bear,25.143379045891106,-2.0627243794328534,27.20610342532396,29,65.51724137931035,12514.33790458911,54.4488592548617,0
14976,16416,Bear,13.59306405390984,-4.285722748552662,17.878786802462503,28,53.57142857142857,11359.306405390984,54.24618958309294,0
15264,16704,Bear,17.20201328655723,-2.507228122839384,19.70924140939661,33,51.515151515151516,11720.201328655723,53.992272736448236,0
15552,16992,Bear,15.315805748371314,-5.594161001289957,20.909966749661272,35,48.57142857142857,11531.580574837131,53.653595339400425,0
15840,17280,Bear,12.233043473964008,-3.3298183470946454,15.562861821058654,29,51.724137931034484,11223.3043473964,53.562234500358855,0
16128,17568,Sideways,10.161608958072847,-1.077815210024941,11.239424168097788,17,58.82352941176471,11016.160895807285,53.19081742973889,0
16416,17856,Bear,6.420431614267363,-3.1726720132074284,9.593103627474791,15,53.333333333333336,10642.043161426736,54.23184754550457,0
16704,18144,Sideways,12.115168743130852,-1.5618811059899673,13.677049849120818,17,64.70588235294117,11211.516874313085,55.291291187791266,0
16992,18432,Bull,16.315973361010585,3.814251311221098,12.501722049789487,18,66.66666666666666,11631.597336101058,54.69979005224176,0
17280,18720,Sideways,12.36324652233845,1.1915368361792948,11.171709686159154,18,55.55555555555556,11236.324652233845,54.000407911009276,0
17568,19008,Sideways,15.592115564722553,1.625880166799178,13.966235397923375,26,53.84615384615385,11559.211556472255,52.856727436758014,0
