exit_threshold,stop_loss,take_profit,max_holding_hours,total_return,sharpe,win_rate,avg_holding_hours,trades_per_week,max_dd,total_trades,ml_exit_pct,sl_pct,tp_pct,maxhold_pct
0.75,0.01,0.04,4,41.90417520481253,12.87446675210797,79.7979797979798,1.7979797979797982,33.05465385889367,-13.60693626195032,99,70.70707070707071,14.14141414141414,2.0202020202020203,13.131313131313133
0.75,0.01,0.03,4,41.90417520481253,12.87446675210797,79.7979797979798,1.7979797979797982,33.05465385889367,-13.60693626195032,99,70.70707070707071,14.14141414141414,2.0202020202020203,13.131313131313133
0.7,0.015,0.02,6,41.677407033727555,13.355855334335075,82.6530612244898,1.8750000000000002,32.720768466379596,-13.499589887641086,98,74.48979591836735,9.183673469387756,4.081632653061225,12.244897959183673
0.7,0.02,0.03,6,41.63041343325713,13.305038115975707,84.94623655913979,2.009856630824373,31.051341503809212,-13.95651351030319,93,77.41935483870968,5.376344086021505,2.1505376344086025,15.053763440860216
0.7,0.02,0.04,6,41.63041343325713,13.305038115975707,84.94623655913979,2.009856630824373,31.051341503809212,-13.95651351030319,93,77.41935483870968,5.376344086021505,2.1505376344086025,15.053763440860216
0.7,0.015,0.03,6,40.74104919501711,12.914371718647446,82.4742268041237,1.892611683848797,32.38688307386552,-13.499589887641086,97,76.28865979381443,9.278350515463918,2.0618556701030926,12.371134020618557
0.7,0.015,0.04,6,40.74104919501711,12.914371718647446,82.4742268041237,1.892611683848797,32.38688307386552,-13.499589887641086,97,76.28865979381443,9.278350515463918,2.0618556701030926,12.371134020618557
0.7,0.015,0.02,3,40.25422554100062,12.254400061381888,78.50467289719626,1.5101246105919002,35.725736999006294,-13.499589887641081,107,66.35514018691589,7.476635514018691,3.7383177570093453,22.429906542056074
0.7,0.015,0.04,3,39.32727362786799,11.845714536209409,78.30188679245283,1.5227987421383646,35.39185160649222,-13.499589887641081,106,67.9245283018868,7.547169811320755,1.8867924528301887,22.641509433962266
0.7,0.015,0.03,3,39.32727362786799,11.845714536209409,78.30188679245283,1.5227987421383646,35.39185160649222,-13.499589887641081,106,67.9245283018868,7.547169811320755,1.8867924528301887,22.641509433962266
0.75,0.01,0.02,3,37.76005218755003,11.741583055253576,75.23809523809524,1.668253968253968,35.05796621397814,-13.528330396205831,105,58.0952380952381,12.380952380952381,3.8095238095238098,25.71428571428571
0.75,0.02,0.02,4,37.009140906901216,12.13604429875699,80.43478260869566,1.9547101449275366,30.71745611129513,-14.614753122222426,92,69.56521739130434,5.434782608695652,4.3478260869565215,20.652173913043477
0.75,0.01,0.03,3,36.84958447482376,11.33903992763704,75.0,1.6826923076923077,34.724080821464064,-13.528330396205831,104,59.61538461538461,12.5,1.9230769230769231,25.961538461538463
0.75,0.01,0.04,3,36.84958447482376,11.33903992763704,75.0,1.6826923076923077,34.724080821464064,-13.528330396205831,104,59.61538461538461,12.5,1.9230769230769231,25.961538461538463
0.75,0.02,0.04,4,36.10363602966531,11.73076954717873,80.21978021978022,1.9743589743589742,30.383570718781055,-14.614753122222426,91,71.42857142857143,5.4945054945054945,2.197802197802198,20.87912087912088
0.75,0.02,0.03,4,36.10363602966531,11.73076954717873,80.21978021978022,1.9743589743589742,30.383570718781055,-14.614753122222426,91,71.42857142857143,5.4945054945054945,2.197802197802198,20.87912087912088
