window,side,entry_idx,entry_price,exit_idx,exit_price,exit_reason,hold_time,position_size,gross_pnl,fees,net_pnl,leveraged_pnl_pct
2,SHORT,728,117178.6,777,118127.0,STOP_LOSS,49,9680.307413120769,-313.3952291836113,9.680307413120769,-323.0755365967321,-0.03237451206960978
2,SHORT,777,118127.0,827,119036.4,STOP_LOSS,50,9373.385653353873,-288.64381261388024,9.373385653353873,-298.0171982672341,-0.03079397597500975
2,SHORT,827,119036.4,918,120081.7,STOP_LOSS,91,9090.269315000001,-319.29925686494306,9.090269315000002,-328.38952617994306,-0.035125390216774126
2,SHORT,918,120081.7,1038,118830.4,MAX_HOLD,120,8778.299265129055,365.89374968728833,8.778299265129055,357.11545042215926,0.04168162176251679
2,SHORT,1038,118830.4,1158,117975.0,MAX_HOLD,120,9117.558943030106,262.53079750191534,9.117558943030106,253.41323855888524,0.028793978645194975
2,SHORT,1158,117975.0,1271,118898.6,STOP_LOSS,113,9358.301519661049,-293.0562333904301,9.35830151966105,-302.41453491009116,-0.03131510913329115
2,SHORT,1271,118898.6,1391,118230.6,MAX_HOLD,120,9071.007711496462,203.85212782251892,9.071007711496463,194.78112011102246,0.02247293071575275
3,SHORT,0,118016.7,7,119061.1,STOP_LOSS,7,9500.0,-336.28461056782925,9.5,-345.78461056782925,-0.0353983800597715
3,SHORT,7,119061.1,127,117670.1,MAX_HOLD,120,9171.504619960562,428.6055790300994,9.171504619960562,419.43407441013886,0.046732308033438294
3,SHORT,127,117670.1,247,116298.9,MAX_HOLD,120,9569.966990650195,446.07215384637755,9.569966990650196,436.50218685572736,0.04661167110421463
3,SHORT,247,116298.9,364,117217.6,STOP_LOSS,117,9984.644068163134,-315.4936978912642,9.984644068163133,-325.4783419594273,-0.031597891295618845
3,SHORT,364,117217.6,484,117391.8,MAX_HOLD,120,9675.43964330168,-57.515649044618705,9.67543964330168,-67.19108868792038,-0.005944499802077404
3,SHORT,484,117391.8,604,118068.3,MAX_HOLD,120,9611.608109048155,-221.5573110139235,9.611608109048156,-231.16891912297166,-0.023051013784608464
3,SHORT,604,118068.3,724,118192.0,MAX_HOLD,120,9391.997635881331,-39.35993344728409,9.391997635881332,-48.751931083165424,-0.004190794650215073
3,SHORT,724,118192.0,844,117909.1,MAX_HOLD,120,9345.683301352325,89.47792764154997,9.345683301352326,80.13224434019764,0.009574252064437329
3,SHORT,844,117909.1,884,118998.7,STOP_LOSS,40,9421.808933475511,-348.2683868815837,9.421808933475512,-357.6901958150592,-0.03696406808295513
3,SHORT,884,118998.7,1004,119097.1,MAX_HOLD,120,9082.003247451205,-30.039626300094973,9.082003247451205,-39.12162954754618,-0.0033075991586465647
3,SHORT,1004,119097.1,1124,118797.9,MAX_HOLD,120,9044.837699381036,90.89106081188916,9.044837699381036,81.84622311250813,0.010048943257224958
3,SHORT,1124,118797.9,1244,118139.2,MAX_HOLD,120,9122.591611337919,202.32852918741025,9.122591611337919,193.20593757607233,0.022178843228710176
3,SHORT,1244,118139.2,1344,119058.9,STOP_LOSS,100,9306.137252035189,-289.7888061099698,9.306137252035189,-299.094943362005,-0.03113953708845149
4,SHORT,0,118345.5,120,117729.8,MAX_HOLD,120,9500.0,197.69741984274762,9.5,188.19741984274762,0.020810254720289224
4,SHORT,120,117729.8,240,118279.4,MAX_HOLD,120,9678.787548850609,-180.73458501919515,9.67878754885061,-190.41337256804576,-0.018673267091254424
4,SHORT,240,118279.4,360,117155.9,MAX_HOLD,120,9497.894844910965,360.87044263861566,9.497894844910965,351.3725477937047,0.03799478184705029
4,SHORT,360,117155.9,410,118073.1,STOP_LOSS,50,9831.698765314984,-307.88493306942354,9.831698765314984,-317.7166318347385,-0.03131553767245224
4,SHORT,410,118073.1,530,118462.9,MAX_HOLD,120,9529.867965071982,-125.84551545728696,9.529867965071983,-135.37538342235894,-0.013205378701837703
4,SHORT,530,118462.9,650,116504.0,MAX_HOLD,120,9401.261350820741,621.8362326136772,9.401261350820741,612.4349712628565,0.06614391509915743
4,SHORT,650,116504.0,770,115168.1,MAX_HOLD,120,9983.074573520456,457.8860579127213,9.983074573520456,447.90298333920083,0.04586623635239972
4,SHORT,770,115168.1,890,115372.5,MAX_HOLD,120,10408.582407692697,-73.8924839129004,10.408582407692696,-84.3010663205931,-0.007099188056414725
4,SHORT,890,115372.5,1010,113652.0,MAX_HOLD,120,10328.496394688134,616.0975292053456,10.328496394688134,605.7690328106574,0.05965026327764415
4,SHORT,1010,113652.0,1130,113641.2,MAX_HOLD,120,10903.976975858259,4.144685578407804,10.903976975858258,-6.759291397450454,0.00038010769718097037
4,SHORT,1130,113641.2,1250,112686.6,MAX_HOLD,120,10897.55564903068,366.1632092080898,10.89755564903068,355.26565355905916,0.033600489963146865
4,SHORT,1250,112686.6,1311,113580.4,STOP_LOSS,61,11235.058019911787,-356.45391229115165,11.235058019911786,-367.68897031106343,-0.031726931152416996
